,name,link,category,rating,discription
0,"1, 2-Hexanediol",https://www.paulaschoice.com/ingredient-dictionary/preservatives/1%2C-2-hexanediol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],Good,"A synthetic preservative and moisture-binding agent belonging to a class of agents known as higher molecular glycols. It is considered non-sensitizing. See preservativesReferences for this information:International Journal of Toxicology, September-October 2012, pages 147S-168SInternational Journal of Cosmetic Science, October 2011, pages 421-425Cutaneous and Ocular Toxicology, Volume 28, 2009, pages 23-24"
1,10-Hydroxydecanoic Acid,https://www.paulaschoice.com/ingredient-dictionary/emollients/10-hydroxydecanoic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.
2,4-T-butylcyclohexanol,https://www.paulaschoice.com/ingredient-dictionary/emollients/4-T-butylcyclohexanol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Soothing']",Good,"A synthetic fatty alcohol that functions as an emollient and soothing agent. It can reduce skin surface stinging on contact and also has the ability to reduce visible redness on skin.References for this information:Journal of the European Academy of Dermatology and Venereology, February 2016, pages 9-16; and Volume 30 Supplement, pages 21-27Experimental Dermatology, November 2010, pages 980-986."
3,Acacia farnesiana extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/acacia-farnesiana-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",Poor,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit for skin.
4,acacia senegal gum,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acacia-senegal-gum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Plant Extracts', 'Skin-Soothing']",Good,"Herb that can have skin soothing properties, but is used primarily as a thickening agent."
5,acai,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acai.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, açai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant—just one of many to choose from when it comes to your skincare products. Consumed orally via supplement, juice, or as a whole food, acai has been shown to exert potent antioxidant benefits and reduce the cascade of damage caused by the overproduction of free radicals. References for this information:  Journal of Traditional and Complementary Medicine, April 2018, pages 267-277 Journal of Drugs in Dermatology, June 2010, pages 72-81 Journal of Agricultural and Food Chemistry, November 2006, pages 8604-8610"
6,acetic acid,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin, though it also has disinfecting properties."
7,acetone,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],Poor,Strong solvent that is used in nail polish removers.
8,acetylated castor oil,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-castor-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and thickening agent in cosmetics.
9,acetylated hydrogenated cottonseed glyceride,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-hydrogenated-cottonseed-glyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",Good,Used as an emollient and thickening agent in cosmetics.
