cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/801050-uniquely_j_tearfree_baby_bubble_bath_fragrance_free/,uniquely j,"tear-free baby bubble bath, fragrance free",verified,https://static.ewg.org/skindeep_images/8010/801050.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/669784-ATTITUDE_Baby_Natural_Soothing_Bath_Soak/,ATTITUDE,Baby Natural Soothing Bath Soak,verified,https://static.ewg.org/skindeep_images/6697/669784.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/666589-Baby_Mantra_3in1_Bubble_Bath_Shampoo__Wash_with_Lavender_Oil__Aloe/,Baby Mantra,"3-in-1 Bubble Bath, Shampoo + Wash with Lavender Oil & Aloe",verified,https://static.ewg.org/skindeep_images/6665/666589.png
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/773164-ATTITUDE_baby_leaves_Bubble_Wash_good_night__almond_milk/,ATTITUDE,"baby leaves Bubble Wash, good night / almond milk",verified,https://static.ewg.org/skindeep_images/7731/773164.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/933108-Babo_Botanicals_Eucalyptus_Remedy_Plant_Based_Shampoo_Bubble_Bath__Wash/,Babo Botanicals,"Eucalyptus Remedy Plant Based Shampoo, Bubble Bath & Wash",verified,https://static.ewg.org/skindeep_images/9331/933108.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/708379-Babytime_by_Episencial_Peaceful_Bubbles/,Babytime! by Episencial,Peaceful Bubbles,verified,https://static.ewg.org/skindeep_images/7083/708379.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/829917-Thinkbaby_Bubble_Bath/,thinkbaby,Bubble Bath,verified,https://static.ewg.org/skindeep_images/8299/829917.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/798724-Everyone_Baby_Bath_3in1_Simply_Unscented/,Everyone,"Baby Bath 3-in-1, Simply Unscented",verified,https://static.ewg.org/skindeep_images/7987/798724.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/801051-uniquely_j_tearfree_baby_bubble_bath_calming_lavender/,uniquely j,"tear-free baby bubble bath, calming lavender",verified,https://static.ewg.org/skindeep_images/8010/801051.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/658126-Dolphin_Organics_Bubble_Bath_Norfolk_Lavender/,Dolphin Organics,Bubble Bath Norfolk Lavender,verified,https://static.ewg.org/skindeep_images/6581/658126.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/658124-Dolphin_Organics_Baby_Bubble_Bath_Fragrance_Free/,Dolphin Organics,Baby Bubble Bath Fragrance Free,verified,https://static.ewg.org/skindeep_images/6581/658124.jpg
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/795527-Bare_Nuhcessities_Bare_Bubbly_Baby_Wash/,Bare Nuhcessities,Bare Bubbly Baby Wash,verified,https://static.ewg.org/skindeep_images/7955/795527.jpg
