cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/801050-uniquely_j_tearfree_baby_bubble_bath_fragrance_free/,uniquely j,"tear-free baby bubble bath, fragrance free",verified,https://static.ewg.org/skindeep_images/8010/801050.jpg,"Water, Citric Acid, Glycerin, Xanthan Gum, Sodium lauryl glucosides Hydroxypropylsulfonate, Decyl Glucoside, Glyceryl Oleate, Sodium benzoate, Potassium Sorbate"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/669784-ATTITUDE_Baby_Natural_Soothing_Bath_Soak/,ATTITUDE,Baby Natural Soothing Bath Soak,verified,https://static.ewg.org/skindeep_images/6697/669784.jpg,"Glycine soja (soybean) oil, glycerin, aqua / water / eau, caprylic / capric triglycerides, sucrose laurate, avena sativa kernel flour (colloidal oatmeal / avoine), triethyl citrate, rosmarinus officinalis (rosemary) leaf extract, helianthus annuus (sunflower) seed oil, raspberry ketone, allyl caproate."
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/666589-Baby_Mantra_3in1_Bubble_Bath_Shampoo__Wash_with_Lavender_Oil__Aloe/,Baby Mantra,"3-in-1 Bubble Bath, Shampoo + Wash with Lavender Oil & Aloe",verified,https://static.ewg.org/skindeep_images/6665/666589.png,"Water (Aqua), Decyl Glucoside, Sodium Lauroyl Lactylate, Lavandula Angustifolia (Lavender) Oil, Aloe Barbadensis Leaf Extract, Lonicera Caprifolium (Honeysuckle) Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Sodium Cocoyl Hydrolyzed Amaranth Protein, Phytic Acid, Sodium Hydroxide, Potassium Sorbate, Benzyl Alcohol"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/773164-ATTITUDE_baby_leaves_Bubble_Wash_good_night__almond_milk/,ATTITUDE,"baby leaves Bubble Wash, good night / almond milk",verified,https://static.ewg.org/skindeep_images/7731/773164.jpg,"Aqua / water / eau, sodium coco-sulfate, coco-glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, chamomilla recutita (matricaria) flower extract, moringa oleifera seed extract, maltodextrin, cyamopsis tetragonoba (guar) gum, linalyl acetate (herbal), vanillin."
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/933108-Babo_Botanicals_Eucalyptus_Remedy_Plant_Based_Shampoo_Bubble_Bath__Wash/,Babo Botanicals,"Eucalyptus Remedy Plant Based Shampoo, Bubble Bath & Wash",verified,https://static.ewg.org/skindeep_images/9331/933108.jpg,"Water (Aqua), Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Aloe Barbadensis (Aloe Vera) Leaf Juice*, Argania Spinosa (Argan) Kernel Oil*, Butyrospermum Parkii (Shea) Butter*, Eucalyptus Globulus Leaf Oil, Mentha Piperita (Peppermint) Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Cocos Nucifera (Coconut) Oil*, Xanthan Gum, Capryloyl Glycine, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Guar Hydroxypropyltrimonium Chloride, Nutri-Soothe Complex [Glycerin*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Pueraria Lobata (Kudzu Root) Root Extract*, Spiraea Ulmaria (Meadowsweet) Flower Extract*], Avena Sativa (Oat) Kernel, Sodium Copper ( Chlorophyll ) Chlorophyllin, Potassium Sorbate, Sodium Chloride, Citric Acid"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/708379-Babytime_by_Episencial_Peaceful_Bubbles/,Babytime! by Episencial,Peaceful Bubbles,verified,https://static.ewg.org/skindeep_images/7083/708379.jpg,"Aloe Barbadensis (Organic Aloe Vera) Leaf Juice, Water (Aqua), Sodium Cocoyl Alkyl Esters (Coconut Soap), Cocamidopropyl Hydroxysultaine, Coco-Glucoside, Lavandula Angustifolia (Lavender) Oil, Glyceryl Oleate, Cocamide DIPA (Sugar Derived), Citrus Reticulata (Mandarin or Tangerine) Peel Oil, Decyl Glucoside, Capryl Hydroxamic Acid, Glycerin, Caprylyl Glycol (Naturally Derived Preservative), Panthenol (Pro-Vitamin B5), Tetrasodium Glutamate Diacetate, Lavandula Angustifolia (Lavender) Oil (ORGANIC), Ginkgo Biloba (ORGANIC) Extract, Calendula Officinalis (ORGANIC Marigold) Flower Extract, Citrus Nobilis (Mandarin Orange) Peel Oil, Vaccinium Angustifolium (Blueberry) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Prunus Domestica Fruit (Plum) Oil, Sodium Cocoyl Glutamate, Disodium Cocoyl Glutamate, Citric Acid (Naturally Derived)"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/829917-Thinkbaby_Bubble_Bath/,thinkbaby,Bubble Bath,verified,https://static.ewg.org/skindeep_images/8299/829917.jpg,"PURIFIED WATER , COCAMIDOPROPYL HYDROXYSULTAINE , SODIUM METHYL 2-SULFOLAURATE, DISODIUM 2-SULFOLAURATE , ALOE BARBADENSIS LEAF JUICE , GLYCERIN (VEGETABLE) , CAPRYLYL GLYCOL , PANTHENOL, ALLOTOIN, CHAMOMILE RECUTITA (MATRICARIA) FLOWER EXTRACT , CALENDULA OFFICINALIS FLOWER EXTRACT, ARNICA MONTANA EXTRACT , BETA GLUCAN , HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/798724-Everyone_Baby_Bath_3in1_Simply_Unscented/,Everyone,"Baby Bath 3-in-1, Simply Unscented",verified,https://static.ewg.org/skindeep_images/7987/798724.jpg,"Purified Water, Cocamidopropyl Hydroxysultaine, Sodium Myristoyl Sarcosinate, Sodium Lauroamphoacetate, Caprylyl/Capryl Glucoside, Sodium Lauroyl Glutamate, Panthenol, Niacinamide, Oat Beta Glucan, Hydrolyzed Quinoa Protein, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, EO Organic Herbal Blend [Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Officinalis Flower Extract, and Organic Camellia Sinensis Leaf Extract], Sodium Phytate, Citric Acid, Potassium Sorbate, Sodium Levulinate, Citrus Aurantium Dulcis (Orange) Peel Oil, Cymbopogon Martinii Oil, *Limonene"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/801051-uniquely_j_tearfree_baby_bubble_bath_calming_lavender/,uniquely j,"tear-free baby bubble bath, calming lavender",verified,https://static.ewg.org/skindeep_images/8010/801051.jpg,"Water, Citric Acid, Glycerin, Xanthan Gum, Sodium lauryl glucosides Hydroxypropylsulfonate, Decyl Glucoside, Glyceryl Oleate, Sodium benzoate, Potassium Sorbate, Lavandula Angustifolia (Lavender) Oil"
Babies,Baby Bubble Bath,https://www.ewg.org/skindeep/products/658126-Dolphin_Organics_Bubble_Bath_Norfolk_Lavender/,Dolphin Organics,Bubble Bath Norfolk Lavender,verified,https://static.ewg.org/skindeep_images/6581/658126.jpg,"Aloe Barbadensis Leaf Juice From Concentrate, Coco-Glucocide, Sodium Cocoyl Glutamate, Glycerin, Capryloyl Glycine Simmondsia Chinensis (Jojoba) Seed Extract, Calendula Officinalis (Marigold) Flower Extract, Salix Alba (Willow) Bark Extract, Yucca Schidigera (Yucca) Root Extract, Avena Sativa (Oat) Kernel Extract, Lavandula Angustifolia (Lavender) Flower Extract, Cyamopsis Tetragonoloba (Guar) Gum, Potassium Sorbate Xanthan Gum"
