cat_name,subcat_name,link
Sun,After Sun Product,https://www.ewg.org/skindeep/browse/category/After_sun_product/
Sun,Sunless Tanning,https://www.ewg.org/skindeep/browse/category/Sunless_tanning/
Sun,Lip Balm With SPF,https://www.ewg.org/skindeep/browse/category/Lip_balm_with_SPF/
Sun,Makeup With SPF,https://www.ewg.org/skindeep/browse/category/Makeup_with_SPF/
Sun,Moisturizer With SPF,https://www.ewg.org/skindeep/browse/category/Moisturizer_with_SPF/
Sun,Beach & Sport Sunscreen,https://www.ewg.org/skindeep/browse/category/Beach_&_sport_sunscreen/
Skin,No content,No link
Skin,Bar Soap,https://www.ewg.org/skindeep/browse/category/Bar_soap/
Skin,Bath Oil/Salts/Soak,https://www.ewg.org/skindeep/browse/category/Bath_oil__salts__soak/
Skin,Body Wash/Cleanser,https://www.ewg.org/skindeep/browse/category/Body_wash__cleanser/
Skin,Bubble Bath,https://www.ewg.org/skindeep/browse/category/Bubble_bath/
Skin,Exfoliant/Scrub,https://www.ewg.org/skindeep/browse/category/Exfoliant__scrub/
Skin,Facial Cleanser,https://www.ewg.org/skindeep/browse/category/Facial_cleanser/
Skin,Foot Cleansing,https://www.ewg.org/skindeep/browse/category/Foot_cleansing/
Skin,Hand Sanitizer,https://www.ewg.org/skindeep/browse/category/Hand_sanitizer/
Skin,Liquid Hand Soap,https://www.ewg.org/skindeep/browse/category/Liquid_hand_soap/
Skin,Makeup Remover,https://www.ewg.org/skindeep/browse/category/Makeup_remover/
Skin,Mask,https://www.ewg.org/skindeep/browse/category/Mask/
Skin,Pore Strips,https://www.ewg.org/skindeep/browse/category/Pore_strips/
Skin,Toners/Astringents,https://www.ewg.org/skindeep/browse/category/Toners__astringents/
Skin,No content,No link
Skin,After Sun Product,https://www.ewg.org/skindeep/browse/category/After_sun_product/
Skin,Anti Aging,https://www.ewg.org/skindeep/browse/category/Anti-aging/
Skin,Around Eye Cream,https://www.ewg.org/skindeep/browse/category/Around-eye_cream/
Skin,BB Cream,https://www.ewg.org/skindeep/browse/category/BB_Cream/
Skin,Body Firming Lotion,https://www.ewg.org/skindeep/browse/category/Body_firming_lotion/
Skin,Body Oil,https://www.ewg.org/skindeep/browse/category/Body_oil/
Skin,CC Cream,https://www.ewg.org/skindeep/browse/category/CC_Cream/
Skin,Facial Moisturizer/Treatment,https://www.ewg.org/skindeep/browse/category/Facial_moisturizer__treatment/
Skin,Foot Moisturizer,https://www.ewg.org/skindeep/browse/category/Foot_moisturizer/
Skin,Hand Cream,https://www.ewg.org/skindeep/browse/category/Hand_cream/
Skin,Moisturizer,https://www.ewg.org/skindeep/browse/category/Moisturizer/
Skin,Serums & Essences,https://www.ewg.org/skindeep/browse/category/Serums_&_Essences/
Skin,No content,No link
Skin,Foot Odor Control,https://www.ewg.org/skindeep/browse/category/Foot_odor_control/
Skin,Muscle/Joint Soreness,https://www.ewg.org/skindeep/browse/category/Muscle__joint_soreness/
Skin,Oil Controller,https://www.ewg.org/skindeep/browse/category/Oil_controller/
Skin,Skin Fading/Lightener,https://www.ewg.org/skindeep/browse/category/Skin_fading__lightener/
Skin,No content,No link
Skin,Antiperspirant/Deodorant,https://www.ewg.org/skindeep/browse/category/Antiperspirant__deodorant/
Hair,No content,No link
Hair,Baby Shampoo,https://www.ewg.org/skindeep/browse/category/Baby_shampoo/
Hair,Conditioner,https://www.ewg.org/skindeep/browse/category/Conditioner/
Hair,Shampoo,https://www.ewg.org/skindeep/browse/category/Shampoo/
Hair,No content,No link
Hair,Detangler,https://www.ewg.org/skindeep/browse/category/Detangler/
Hair,Hair Color And Bleaching,https://www.ewg.org/skindeep/browse/category/Hair_color_and_bleaching/
Hair,Hair Relaxer,https://www.ewg.org/skindeep/browse/category/Hair_relaxer/
Hair,Hair Spray,https://www.ewg.org/skindeep/browse/category/Hair_spray/
Hair,Styling Gel/Lotion,https://www.ewg.org/skindeep/browse/category/Styling_gel__lotion/
Hair,Styling Mousse/Foam,https://www.ewg.org/skindeep/browse/category/Styling_mousse__foam/
Hair,No content,No link
Hair,Depilatory,https://www.ewg.org/skindeep/browse/category/Depilatory/
Hair,Hair Removal Waxes,https://www.ewg.org/skindeep/browse/category/Hair_removal_waxes/
Hair,No content,No link
Hair,Baby Shampoo,https://www.ewg.org/skindeep/browse/category/Baby_shampoo/?marketed_for=kinky_hair
Hair,Conditioner,https://www.ewg.org/skindeep/browse/category/Conditioner/?marketed_for=kinky_hair
Hair,Detangler,https://www.ewg.org/skindeep/browse/category/Detangler/?marketed_for=kinky_hair
Hair,Hair Color And Bleaching,https://www.ewg.org/skindeep/browse/category/Hair_color_and_bleaching/?marketed_for=kinky_hair
Hair,Hair Relaxer,https://www.ewg.org/skindeep/browse/category/Hair_relaxer/?marketed_for=kinky_hair
Hair,Hair Removal Waxes,https://www.ewg.org/skindeep/browse/category/Hair_removal_waxes/?marketed_for=kinky_hair
Hair,Hair Spray,https://www.ewg.org/skindeep/browse/category/Hair_spray/?marketed_for=kinky_hair
Hair,Hair Styling Aide,https://www.ewg.org/skindeep/browse/category/Hair_styling_aide/?marketed_for=kinky_hair
