cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/772884-Paul_Penders_Calming__Soothing_Mist/,Paul Penders,Calming & Soothing Mist,verified,https://static.ewg.org/skindeep_images/7728/772884.jpg
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/764017-Avene_Thermal_Spring_Water/,,Avene Thermal Spring Water,01,https://static.ewg.org/skindeep_images/7640/764017.jpg
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/897622-HealingScents_Body_Spray_Lavender_Love/,Healing-Scents,"Body Spray, Lavender Love",01,https://static.ewg.org/skindeep_images/8976/897622.jpg
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779599-Poofy_Organics_Almond_Biscotti_Body_Spray/,Poofy Organics,Almond Biscotti Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779627-Poofy_Organics_Coconut__Honey_Body_Spray/,Poofy Organics,Coconut & Honey Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/842278-Heritage_Store_Rose_Petals_Rosewater/,,Heritage Store Rose Petals Rosewater,01,https://static.ewg.org/skindeep_images/8422/842278.jpg
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/764075-ArtNaturals_Soleil_Mineral_Water_Cooling_Spray/,Artnaturals,"Soleil, Mineral Water Cooling Spray",01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779676-Poofy_Organics_Jasmine_Joy_Body_Spray/,Poofy Organics,Jasmine Joy Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/887219-Aura_Cacia_Aromatherapy_Room__Body_Mist_Pure_Essential_Oils_Refreshing_Tangerine__Grapefruit/,Aura Cacia,"Aromatherapy Room & Body Mist Pure Essential Oils, Refreshing Tangerine &...",01,https://static.ewg.org/skindeep_images/8872/887219.jpg
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779654-Poofy_Organics_Frankincense__Myrrh_Body_Spray/,Poofy Organics,Frankincense & Myrrh Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
