cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list,new_ing_list
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/772884-Paul_Penders_Calming__Soothing_Mist/,Paul Penders,Calming & Soothing Mist,verified,https://static.ewg.org/skindeep_images/7728/772884.jpg,"Aqua*, Cocos nucifera (Coconut) extract, Glycerin, Curcuma longa (Turmeric) root oil, Angelica archangelica (Angelica) powder**, Arnica montana (Arnica) flower powder**, Calendula officinalis (Calendula) flower powder**, Matricaria recutita (Chamomile) flower powder**, Sambucus nigra (Elderflower) flower powder**, Zingiber officinalis (Ginger) root powder**, Panax quinquefolium (Ginseng) root powder**, Lonicera japonica (Honeysuckle) powder**, Humulus lupulus (Hops) powder**, Equisetum hyemale (Horsetail) powder**, Juniperus communis (Juniper) fruit powder**, Lavandula angustifolia (Lavender) flower powder**, Melissa officinalis (Lemon balm) leaf powder**, Urtica dioica (Nettle) powder**, Centella asiatica (Pennywort) powder**, Mentha piperita (Peppermint) leaf powder**, Rosemarinus officinalis (Rosemary) powder**, Salvia officinalis (Sage) powder**, Hypericum perforatum (St. John's wort) powder**, Curcuma longa (Turmeric) root powder**, Hamamelis virginiana (Witch hazel) powder**, Archillea millefolium (Yarrow) powder**, Citrus medica limonum peel oil, Cymbopogon citratus leaf oil, Camphor, Ananas comosus (Bromelain) extract, Carica papaya (Papain) extract, Tocopheryl acetate, Caprylhydroxamatic acid (amino acid), Glyceryl caprylate(1); *Limonene, *Citral, *Linalool, *Geraniol, *Citronellol","['WATER', 'COCOS NUCIFERA FRUIT EXTRACT', 'GLYCERIN', 'CURCUMA LONGA ROOT OIL', 'ANGELICA ARCHANGELICA SEED POWDER', 'ARNICA MONTANA FLOWER WATER', 'CALENDULA OFFICINALIS FLOWER WATER', 'MATRICARIA RECUTITA FLOWER OIL', 'SAMBUCUS NIGRA FLOWER WATER', 'ZINGIBER OFFICINALE ROOT POWDER', 'PANAX NOTOGINSENG ROOT POWDER', 'LONICERA JAPONICA FLOWER', 'HUMULUS LUPULUS FLOWER', 'EQUISETUM ARVENSE POWDER', 'JUNIPERUS COMMUNIS FRUIT WATER', 'LAVANDULA ANGUSTIFOLIA FLOWER POWDER', 'MELISSA OFFICINALIS LEAF POWDER', 'URTICA DIOICA LEAF POWDER', 'CENTELLA ASIATICA FLOWER', 'MENTHA PIPERITA LEAF WATER', 'ROSMARINUS OFFICINALIS LEAF POWDER', 'SALVIA OFFICINALIS LEAF POWDER', 'HYPERICUM PERFORATUM) FLOWER', 'CURCUMA LONGA ROOT POWDER', 'HAMAMELIS VIRGINIANA WATER', 'ACHILLEA MILLEFOLIUM FLOWER', 'CITRUS MEDICA LIMONUM PEEL', 'CYMBOPOGON CITRATUS LEAF OIL', 'CAMPHOR', 'ANANAS SATIVUS FRUIT EXTRACT', 'CARICA PAPAYA LEAF EXTRACT', 'TOCOPHERYL ACETATE', 'CAPRYLHYDROXAMIC ACID', 'GLYCERYL CAPRYLATE', 'CITRAL', 'LINALOOL', 'GERANIOL', 'CITRONELLOL']"
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/764017-Avene_Thermal_Spring_Water/,,Avene Thermal Spring Water,01,https://static.ewg.org/skindeep_images/7640/764017.jpg,"AVENE THERMAL SPRING WATER, NITROGEN","['EPHEDRA SINICA WATER', 'NITROGEN']"
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/897622-HealingScents_Body_Spray_Lavender_Love/,Healing-Scents,"Body Spray, Lavender Love",01,https://static.ewg.org/skindeep_images/8976/897622.jpg,"water, vegetable glycerin, lavender essential oil.","['WATER', 'VEGETABLE GLYCERIDES PHOSPHATE', 'ALTERNANTHERA SESSILIS OIL']"
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779599-Poofy_Organics_Almond_Biscotti_Body_Spray/,Poofy Organics,Almond Biscotti Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Organic Grain Alcohol, Organic almond flavor extract (organic cane alcohol, natural flavors), organic almond flavor oil (organic sunflower oil, natural flavors)","['BRASSICA ALCOHOL', 'ORIGANUM MAJORANA FLOWER OIL']"
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779627-Poofy_Organics_Coconut__Honey_Body_Spray/,Poofy Organics,Coconut & Honey Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Organic Grain Alcohol, Organic Coconut Flavor Extract (Organic Cane Alcohol, Natural Flavors), Organic Burnt Sugar Flavor Extract (Organic Cane Alcohol, Natural Flavors).",['BRASSICA ALCOHOL']
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/842278-Heritage_Store_Rose_Petals_Rosewater/,,Heritage Store Rose Petals Rosewater,01,https://static.ewg.org/skindeep_images/8422/842278.jpg,"VOR-MAG WATER (WATER THAT HAS BEEN VORTEXED AND MAGNETIZED TO RAISE THE ENERGY TO A HIGHER VIBRATION THAT WE BELIEVE TO BE MORE BENEFICIAL), AND ROSA DAMASCENA (HYDROESSENTIAL ROSE) FLOWER OIL",['ROSA DAMASCENA FLOWER OIL']
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/764075-ArtNaturals_Soleil_Mineral_Water_Cooling_Spray/,Artnaturals,"Soleil, Mineral Water Cooling Spray",01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"WATER, ALOE BARBADENSIS (ALOE VERA) LEAF EXTRACT, CUUMIS SATIVUS (CUCUMBER) EXTRACT, CARYA OVATO BARK EXTRACT","['WATER', 'ALOE BARBADENSIS LEAF EXTRACT', 'CUCUMIS SATIVUS CALLUS EXTRACT', 'CARYA OVATA BARK EXTRACT']"
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779676-Poofy_Organics_Jasmine_Joy_Body_Spray/,Poofy Organics,Jasmine Joy Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Organic Grain Alcohol, Organic Jasmine Flavor Extract (Organic Cane Alcohol, Natural Flavors)",['BRASSICA ALCOHOL']
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/887219-Aura_Cacia_Aromatherapy_Room__Body_Mist_Pure_Essential_Oils_Refreshing_Tangerine__Grapefruit/,Aura Cacia,"Aromatherapy Room & Body Mist Pure Essential Oils, Refreshing Tangerine &...",01,https://static.ewg.org/skindeep_images/8872/887219.jpg,"WATER (AQUA), CITRUS X PARADISI (GRAPEFRUIT) OIL, CITRUS RETICULATA (TANGERINE) OIL.","['WATER', 'CITRUS PARADISI PEEL OIL', 'CITRUS RETICULATA PEEL OIL']"
Fragrance,Body Spray,https://www.ewg.org/skindeep/products/779654-Poofy_Organics_Frankincense__Myrrh_Body_Spray/,Poofy Organics,Frankincense & Myrrh Body Spray,01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"Organic Grain Alcohol, Organic Frankincense (Boswellia Carteri) Essential Oil, Organic Myrrh (Commiphora Myrrha) Essential Oil.","['BRASSICA ALCOHOL', 'COMMIPHORA MYRRHA OIL']"
