cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/666591-Baby_Mantra_Newborn_Shampoo__Body_Wash/,Baby Mantra,Newborn Shampoo + Body Wash,verified,https://static.ewg.org/skindeep_images/6665/666591.png
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/667650-Maruemsta_Muscovado_Top_to_Toe_All_in_one_wash/,MARUEMSTA,Muscovado Top to Toe (All in one wash),verified,https://static.ewg.org/skindeep_images/6676/667650.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/801049-uniquely_j_tearfree_baby_shampoo__body_wash_calming_lavender/,uniquely j,"tear-free baby shampoo & body wash, calming lavender",verified,https://static.ewg.org/skindeep_images/8010/801049.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/666589-Baby_Mantra_3in1_Bubble_Bath_Shampoo__Wash_with_Lavender_Oil__Aloe/,Baby Mantra,"3-in-1 Bubble Bath, Shampoo + Wash with Lavender Oil & Aloe",verified,https://static.ewg.org/skindeep_images/6665/666589.png
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/738365-Everyone_Baby_Bath_Chamomile__Lavender/,Everyone,"Baby Bath, Chamomile + Lavender",verified,https://static.ewg.org/skindeep_images/7383/738365.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/933108-Babo_Botanicals_Eucalyptus_Remedy_Plant_Based_Shampoo_Bubble_Bath__Wash/,Babo Botanicals,"Eucalyptus Remedy Plant Based Shampoo, Bubble Bath & Wash",verified,https://static.ewg.org/skindeep_images/9331/933108.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/708380-Babytime_by_Episencial_Playful_Wash/,Babytime! by Episencial,Playful Wash,verified,https://static.ewg.org/skindeep_images/7083/708380.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773146-ATTITUDE_baby_leaves_2in1_Shampoo_pear_nectar/,ATTITUDE,"baby leaves 2in1 Shampoo, pear nectar",verified,https://static.ewg.org/skindeep_images/7731/773146.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773156-ATTITUDE_baby_leaves_2in1_Foaming_Wash_pear_nectar/,ATTITUDE,"baby leaves 2in1 Foaming Wash, pear nectar",verified,https://phorcys-static.ewg.org/image/contents/496602/medium.png?1542643032
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/742542-Farm_Grain_Organic_Grain_Baby_Hair__Body_Cleanser/,Farm Grain,Organic Grain Baby Hair & Body Cleanser,verified,https://static.ewg.org/skindeep_images/7425/742542.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/707398-Whamisa_Organic_Aloe_Baby_Hair__Body_Cleanser/,Whamisa,Organic Aloe Baby Hair & Body Cleanser,verified,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/920615-Hello_Bello_Premium_Shampoo_and_Body_Wash_Calming_Soft_Lavender_/,Hello Bello,"Premium Shampoo and Body Wash, Calming Soft Lavender",verified,https://static.ewg.org/skindeep_images/9206/920615.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773148-ATTITUDE_baby_leaves_2in1_Shampoo_apple/,ATTITUDE,"baby leaves 2in1 Shampoo, apple",verified,https://static.ewg.org/skindeep_images/7731/773148.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773149-ATTITUDE_baby_leaves_2in1_Shampoo_fragrancefree/,ATTITUDE,"baby leaves 2in1 Shampoo, fragrance-free",verified,https://phorcys-static.ewg.org/image/contents/496599/medium.png?1542643031
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/900349-Pipette_Baby_Shampoo__Wash/,Pipette,Baby Shampoo & Wash,verified,https://static.ewg.org/skindeep_images/9003/900349.jpg
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773147-ATTITUDE_baby_leaves_2in1_Shampoo_good_night__almond_milk/,ATTITUDE,"baby leaves 2in1 Shampoo, good night / almond milk",verified,https://static.ewg.org/skindeep_images/7731/773147.jpg
