cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/666591-Baby_Mantra_Newborn_Shampoo__Body_Wash/,Baby Mantra,Newborn Shampoo + Body Wash,verified,https://static.ewg.org/skindeep_images/6665/666591.png,"Water (Aqua), Decyl Glucoside, Cocos Nucifera (Coconut) Oil, Glycerin, Sodium Lauroyl Lactylate, Glyceryl Stearate, Olea Europea (Olive) Fruit Oil, Sucrose Stearate, Sodium Coco-Glucoside Tartrate, Lavandula Angustifolia (Lavender) Oil, Aloe Barbadensis Leaf Extract, Lonicera Caprifolium (Honeysuckle) Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Sodium Cocoyl Hydrolyzed Amaranth Protein, Xanthan Gum, Phytic Acid, Sodium Hydroxide, Potassium Sorbate, Benzyl Alcohol"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/667650-Maruemsta_Muscovado_Top_to_Toe_All_in_one_wash/,MARUEMSTA,Muscovado Top to Toe (All in one wash),verified,https://static.ewg.org/skindeep_images/6676/667650.jpg,"Potassium cocoyl glutamate, D.I. Water, Lauramidopropyl betaine, Propylene glycol laurate, Disodium cocoamphodiacetate, Dimethyl sulfone, Totarol, decylene glycol, ethylhexylglycerin, hexylene glycol, butylene glycol, Hydrolyzed soy protein, Hydrolyzed collagen, Hydrolyzed keratine, Muscovado powder, Terminalia Chebula Bark Extract, Pueraria Lobata Root Extract, Chrysanthellum Indicum Extract, Sophora Angustifolia Root Extract, Capsicum Annuum Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Phaseolus Radiatus Seed Extract, Laminaria Digitata Extract, Angelica Gigas Root Extract, Zizyphus Jujuba Fruit Extract, Vitex Trifolia Fruit Extract, Ophiopogon Japonicus Root Extract, Ledebouriella Divaricata Root Extract, Silkworm Extract, Bletilla Striata Root Extract, Rubus Coreanus Fruit Extract, Cornus Officinalis Fruit Extract, Morus Alba Bark Extract, Zingiber Officinale (Ginger)Root Extract, Angelica Dahurica Root Extract, Asarum SieboldiRoot Extract, Pinus Palustris Leaf Extract, Rehmannia Glutinosa Root Extract, Cimicifuga Simplex Root Extract, Houttuynia Cordata Extract, Acanthopanax Senticosus (Eleuthero) Root Extract, Zea Mays (Corn) Silk Extract, Castanea Crenata (Chestnut) Shell Extract, Ginkgo Biloba Leaf Extract, CoixLacryma-Jobi Ma-yuen Seed Extract, Panax Ginseng Root Extract, Lithospermum Erythrorhizon Root Extract, Thuja Occidentalis Leaf Extract, Polygonum Multiflorum Root Extract, Eclipta Prostrata Extract, Juglans Regia (Walnut) Seed Extract, Foeniculum Vulgare (Fennel) Seed Extract, Trichosanthes Kirilowii Root Extract, Gleditsia Australis Fruit Extract"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/801049-uniquely_j_tearfree_baby_shampoo__body_wash_calming_lavender/,uniquely j,"tear-free baby shampoo & body wash, calming lavender",verified,https://static.ewg.org/skindeep_images/8010/801049.jpg,"Water, Guar Hydroxypropyl Trimonium Chloride, Citric Acid, Glycerin, Xanthan Gum, Sodium Laurylglucosides Hydroxypropylsulfonate, Decyl Glucoside, Sodium Benzoate, Potassium Sorbate, Lavandula Angustifolia (Lavender) Oil"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/666589-Baby_Mantra_3in1_Bubble_Bath_Shampoo__Wash_with_Lavender_Oil__Aloe/,Baby Mantra,"3-in-1 Bubble Bath, Shampoo + Wash with Lavender Oil & Aloe",verified,https://static.ewg.org/skindeep_images/6665/666589.png,"Water (Aqua), Decyl Glucoside, Sodium Lauroyl Lactylate, Lavandula Angustifolia (Lavender) Oil, Aloe Barbadensis Leaf Extract, Lonicera Caprifolium (Honeysuckle) Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Sodium Cocoyl Hydrolyzed Amaranth Protein, Phytic Acid, Sodium Hydroxide, Potassium Sorbate, Benzyl Alcohol"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/738365-Everyone_Baby_Bath_Chamomile__Lavender/,Everyone,"Baby Bath, Chamomile + Lavender",verified,https://static.ewg.org/skindeep_images/7383/738365.jpg,"Puriï¬ed Water, Cocamidopropyl Hydroxysultaine, Sodium Myristoyl Sarcosinate, Sodium Lauroamphoacetate, Caprylyl/Capryl Glucoside, Sodium Lauroyl Glutamate, Panthenol, Niacinamide, Oat Beta Glucan, Hydrolyzed Quinoa Protein, Avena Sativa (Oat) Kernel Extract, Calendula Ofï¬cinalis Flower Extract, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Cananga Odorata Flower Oil, Anthemis Nobilis Flower Oil, Organic Aloe Barbadensis Leaf, Organic Chamomilla Recutita (Matricaria) Flower Extract, Organic Calendula Ofï¬cinalis Flower Extract, Organic Camelia Sinensis Leaf Extract, Sodium Phytate, Citric Acid, Potassium Sorbate, Sodium Levulinate"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/933108-Babo_Botanicals_Eucalyptus_Remedy_Plant_Based_Shampoo_Bubble_Bath__Wash/,Babo Botanicals,"Eucalyptus Remedy Plant Based Shampoo, Bubble Bath & Wash",verified,https://static.ewg.org/skindeep_images/9331/933108.jpg,"Water (Aqua), Sodium Lauroyl Methyl Isethionte, Coco Betaine, Coco-Glucoside, Glycerin, Sodium Methyl Cocoyl Taurate, Aloe Barbadensis (Aloe Vera) Leaf Juice*, Argania Spinosa (Argan) Kernel Oil*, Butyrospermum Parkii (Shea) Butter*, Eucalyptus Globulus Leaf Oil, Mentha Piperita (Peppermint) Leaf Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Cocos Nucifera (Coconut) Oil*, Xanthan Gum, Capryloyl Glycine, Rosmarinus Officinalis (Rosemary) Leaf Extract*, Guar Hydroxypropyltrimonium Chloride, Nutri-Soothe Complex [Glycerin*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Nasturtium Officinale (Watercress) Flower/Leaf Extract*, Pueraria Lobata (Kudzu Root) Root Extract*, Spiraea Ulmaria (Meadowsweet) Flower Extract*], Avena Sativa (Oat) Kernel, Sodium Copper ( Chlorophyll ) Chlorophyllin, Potassium Sorbate, Sodium Chloride, Citric Acid"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/708380-Babytime_by_Episencial_Playful_Wash/,Babytime! by Episencial,Playful Wash,verified,https://static.ewg.org/skindeep_images/7083/708380.jpg,"Aloe Barbadensis (Organic Aloe Vera) Leaf Juice, Water (Aqua), Sodium Lauryl Glucose Carboxylate (Sugar Based), Laurel Glucoside (Plant Derived), Decyl Glucoside (Plant Derived), Coco-Glucoside, Glycerin (Plant Derived), Glyceryl Oleate, Glyceryl Caprylate (Natural Preservative), Ginkgo Biloba (ORGANIC) Extract, Citrus Reticulata (Mandarin or Tangerine) Peel Oil, Calendula Officinalis (ORGANIC Marigold) Flower, Sodium Chloride (Natural Salt), Citrus Aurantium Amara (Bitter Orange/Petitgrain) Oil, Capryl Hydroxamic Acid (Naturally Derived Preservative), Caprylyl Glycol (Naturally Derived Preservative), Panthenol (Pro-Vitamin B5), Citric Acid (Naturally Derived)"
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773146-ATTITUDE_baby_leaves_2in1_Shampoo_pear_nectar/,ATTITUDE,"baby leaves 2in1 Shampoo, pear nectar",verified,https://static.ewg.org/skindeep_images/7731/773146.jpg,"Aqua / water / eau, sodium coco-sulfate, coco glucoside, glycerin, sodium cocoyl isethionate, sodium chloride, citric acid, glyceryl oleate, sodium benzoate, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, inulin, maltodextrin, moringa oleifera seed extract, cyamopsis tetragonoba (guar) gum, gamma-undecalactone (sweet fruit), ethyl acetate (pear)."
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/773156-ATTITUDE_baby_leaves_2in1_Foaming_Wash_pear_nectar/,ATTITUDE,"baby leaves 2in1 Foaming Wash, pear nectar",verified,https://phorcys-static.ewg.org/image/contents/496602/medium.png?1542643032,"Aqua / water / eau, decyl glucoside, coco-glucoside, glycerin, dicaprylyl ether, glyceryl oleate, citric acid, sodium benzoate, lauryl alcohol, potassium sorbate, vaccinium angustifolium (blueberry / bleuet) leaf extract, maltodextrin, moringa oleifera seed extract, gamma-undecalactone (sweet fruit), ethyl acetate (pear)."
Hair,Baby Shampoo,https://www.ewg.org/skindeep/products/742542-Farm_Grain_Organic_Grain_Baby_Hair__Body_Cleanser/,Farm Grain,Organic Grain Baby Hair & Body Cleanser,verified,https://static.ewg.org/skindeep_images/7425/742542.jpg,"*Oryza Sativa (Rice) Extract, *Avena Sativa (Oat) Kernel Extract, Palm Kernel/Coco Glucoside, *Hordeum Vulgare Seed Extract, *Lactobacillus/Rice Ferment Filtrate, *Lactobacillus/Avena Sativa (Oat) Kernel Ferment Filtrate, *Sesamum Indicum (Sesame) Seed Extract, *Lactobacillus/ Coix Lacryma-Jobi Ma-yuen Seed Ferment Filtrate, *Lactobacillus/Hordeum Vulgare Seed Ferment Filtrate, *Lactobacillus/Phaseolus Radiatus Seed Ferment Filtrate, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Citric Acid, **Fragrance(Isopropyl Myristate, Cedrol, Phenylethyl Alcohol, Linalyl Acetate, Î²-Ionone, Hexenyl Acetate, gamma-Undecalactone)"
