cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Nails,Nail Glue,https://www.ewg.org/skindeep/products/927248-Bitzy_Glitter_Glue/,Bitzy,Glitter Glue,01,https://static.ewg.org/skindeep_images/9272/927248.jpg
Nails,Nail Glue,https://www.ewg.org/skindeep/products/876597-La_Colors_Quick_Dry_Clear_Nail_Glue/,L.A. Colors,Quick Dry Clear Nail Glue,03,https://static.ewg.org/skindeep_images/8765/876597.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759976-SOPHi_Nail_Polish_I_Love_You_Dittoe/,SOPHi,"Nail Polish, I Love You, Dit-toe",01,https://static.ewg.org/skindeep_images/7599/759976.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/760206-SOPHi_Nail_Polish_Shine_Topcoat/,SOPHi,"Nail Polish, Shine Topcoat",01,https://static.ewg.org/skindeep_images/7602/760206.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/920335-Kapa_Nui_Base_and_Top_Coat_Sealer_/,Kapa Nui,Base and Top Coat Sealer,01,https://static.ewg.org/skindeep_images/9203/920335.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759934-Piggy_Paint_Nail_Polish_Clouds_of_Candy/,Piggy Paint,"Nail Polish, Clouds of Candy",01,https://static.ewg.org/skindeep_images/7599/759934.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759941-Piggy_Paint_Nail_Polish_Glitterbug/,Piggy Paint,"Nail Polish, Glitterbug",01,https://static.ewg.org/skindeep_images/7599/759941.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/920422-Lauren_B_Beauty_Nail_Couture_Quick_Dry_Top_Coat/,Lauren B. Beauty,Nail Couture Quick Dry Top Coat,01,https://static.ewg.org/skindeep_images/9204/920422.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759952-Piggy_Paint_Nail_Polish_Bubble_Trouble/,Piggy Paint,"Nail Polish, Bubble Trouble",01,https://static.ewg.org/skindeep_images/7599/759952.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759933-Piggy_Paint_Nail_Polish_Tea_Party_for_Two/,Piggy Paint,"Nail Polish, Tea Party for Two",01,https://static.ewg.org/skindeep_images/7599/759933.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759931-Piggy_Paint_Nail_Polish_Ice_Cream_Dream/,Piggy Paint,"Nail Polish, Ice Cream Dream",01,https://static.ewg.org/skindeep_images/7599/759931.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/760196-SOPHi_Nail_Polish_Dance_Lilac_No_Ones_Watching/,SOPHi,"Nail Polish, Dance Lilac No One's Watching",01,https://static.ewg.org/skindeep_images/7601/760196.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759928-Piggy_Paint_Nail_Polish_Sometimes_Sweet/,Piggy Paint,"Nail Polish, Sometimes Sweet",01,https://static.ewg.org/skindeep_images/7599/759928.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759930-Piggy_Paint_Nail_Polish_Angel_Kisses_/,Piggy Paint,"Nail Polish, Angel Kisses",01,https://static.ewg.org/skindeep_images/7599/759930.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/916752-More_Than_Magic_Nail_Polish_Sparkling_Skies/,,"More Than Magic Nail Polish, Sparkling Skies",01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/884656-Fav_Nail_Lacquer_Better_Off_Red/,,"Fav Nail Lacquer, Better Off Red",01,https://static.ewg.org/skindeep/img/ewg_missing_product.png
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759951-Piggy_Paint_Nail_Polish_Tutu_Cool/,Piggy Paint,"Nail Polish, Tutu Cool",01,https://static.ewg.org/skindeep_images/7599/759951.jpg
Nails,Nail Polish,https://www.ewg.org/skindeep/products/759937-Piggy_Paint_Nail_Polish_Sleepover/,Piggy Paint,"Nail Polish, Sleepover",01,https://static.ewg.org/skindeep_images/7599/759937.jpg
