cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/932872-Aramoon_Bebe_Babys_Xylitol_Toothpaste_Fluoride_Free_Blueberry/,Aramoon,"Bebe Baby's Xylitol Toothpaste, Fluoride Free Blueberry",verified,https://static.ewg.org/skindeep_images/9328/932872.jpg,"HYDRATED SILICA, SORBITOL, ASCORBIC ACID, SODIUM PCA, XYLITOL, CELLULOSE GUM, GLYCERIN, CITRUS GRANDIS (GRAPEFRUIT) SEED EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, CALENDULA OFFICINALIS FLOWER EXTRACT, ANTHEMIS NOBILIS FLOWER EXTRACT, VACCINIUM ANGUSTIFOLIUM (BLUEBERRY) FRUIT EXTRACT, WATER"
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/841516-Spry_Kids_Spry_Tooth_Gel_With_Xylitol_Original/,Spry,"Kids Tooth Gel With Xylitol, Original",01,https://static.ewg.org/skindeep_images/8415/841516.jpg,"PURIFIED WATER, XYLITOL, CALCIUM GLYCEROPHOSPHATE, CELLULOSE GUM (THICKENING AGENT), GRAPEFRUIT SEED EXTRACT, AS A PRESERVATIVE."
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/879882-Hello_Fluoride_Toothpaste_Bubble_Gum/,,"Hello Fluoride Toothpaste, Bubble Gum",03,https://static.ewg.org/skindeep_images/8798/879882.jpg,"Active Ingredients: Sodium Fluoride (0.15% W/V Fluoride Ion) 0.24%; Inactive Ingredients: SORBITOL, HYDRATED SILICA, PURIFIED WATER, GLYCERIN, XYLITOL, FLAVOR, XANTHAN GUM, TITANIUM DIOXIDE, COCAMIDOPROPYL BETAINE, SODIUM COCOYL GLUTAMATE AND STEVIA REBAUDIANA LEAF EXTRACT."
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/874666-Kids_Crest_Cavity_Protection_Fluoride_Anticavity_Toothpaste_Bubble_Gum/,,"Kid's Crest Cavity Protection Fluoride Anticavity Toothpaste, Bubble Gum",03,https://static.ewg.org/skindeep_images/8746/874666.jpg,"Active Ingredients: Sodium Fluoride (0.15% W/V Fluoride Ion) 0.243%; Inactive Ingredients: SORBITOL, WATER, HYDRATED SILICA, SODIUM LAURYL SULFATE, TRISODIUM PHOSPHATE, CELLULOSE GUM, FLAVOR, SODIUM PHOSPHATE, SODIUM SACCHARIN, CARBOMER, RED 28"
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/916906-Orajel_Paw_Training_Toothpaste_Patrol_Fluoride_Free__Fruity_Fun/,Orajel,"Paw Training Toothpaste Patrol Fluoride Free , Fruity Fun",03,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"WATER, SORBITOL, PROPYLENE GLYCOL, GLYCERIN, CELLULOSE GUM, POLOXAMER 407, FLAVOR, SIMETHICONE, POTASSIUM SORBATE, SODIUM SACCHARIN, CITRIC ACID."
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/884540-Burts_Bees_Fluoride_Toothpaste_for_Kids_Fruit_Fusion/,Burt's Bees,"Fluoride Toothpaste for Kids, Fruit Fusion",03,https://static.ewg.org/skindeep_images/8845/884540.jpg,"Active Ingredients: Sodium Fluoride 0.243%; Inactive Ingredients: INACTIVE INGREDIENTS GLYCERIN, WATER, HYDRATED SILICA, SODIUM COCOYL GLUTAMATE, FLAVOR*, XANTHAN GUM, CARRAGEENAN, STEVIA REBAUDIANA EXTRACT, TITANIUM DIOXIDE"
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/878286-Hello_Fluoride_Free_Paste__Bpa_Free_Toddler_Toothbrush_Organic_Apple/,,"Hello Fluoride Free Paste + Bpa Free Toddler Toothbrush, Organic Apple",03,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"VEGETABLE GLYCERIN (SOOTHES AND MOISTURIZES), SORBITOL (HUMECTANT), PURIFIED WATER, ALOE VERA GEL (SOOTHES AND MOISTURIZES), HYDRATED SILICA (THICKENER), XYLITOL (SWEETENER), ERYTHRITOL (SWEETENER), XANTHAN GUM (THICKENER), FLAVOR* (YUM), CALCIUM GLYCEROPHOSPHATE (MINERAL), POTASSIUM SORBATE (MAINTAINS STABILITY) AND STEVIA REBAUDIANA LEAF EXTRACT* (SWEETENER)."
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/878288-Woo_Bam_Boo_Eco_Awesome_Toothpaste_Bubble_Berry/,,"Woo Bam Boo! Eco Awesome Toothpaste, Bubble Berry",03,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"GLYCERIN (VEGETABLE DERIVED), HYDRATED SILICA, WATER, SORBITOL, XYLITOL, CALCIUM CARBONATE, DIATOMACEOUS EARTH, NATURAL FLAVOR, BAMBUSA VULGARIS LEAF/STEM EXTRACT, CAMELLIA SINENSIS LEAF EXTRACT, LYCOPENE*, STEVIA REBAUDIANA EXTRACT, LECITHIN, SUCROSE STEARATE, XANTHAN GUM, SODIUM LAUROYL, GLUTAMATE, POTASSIUM SORBATE"
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/789945-JASON_Kids_ONLY_Toothpaste_Orange/,,"JASON Kids ONLY Toothpaste, Orange",03,https://static.ewg.org/skindeep_images/7899/789945.jpg,"Glycerin, Aqua (Water), Hydrated Silica, Sorbitol, Xylitol, Xanthan Gum, Sodium Cocoyl Glutamate, Aloe Barbadensis Leaf Juice(1), Calendula Officinalis Flower Extract, Stevia Rebaudiana Leaf/Stem Extract, Alcohol, Calcium Carbonate , Caprylic/Capric Triglyceride, Citric Acid, Panthenol, Sodium Sulfate, Potassium Sorbate, Sodium Benzoate, Flavor(2),"
Babies,Baby Toothpaste,https://www.ewg.org/skindeep/products/888377-Toms_of_Maine_Natural_Toddler_Training_Toothpaste_Mild_Fruit/,Tom's of Maine,"Natural Toddler Training Toothpaste, Mild Fruit",04,https://static.ewg.org/skindeep_images/8883/888377.jpg,"GLYCERIN, PROPANEDIOL, HYDRATED SILICA, WATER, XYLITOL, BENZYL ALCOHOL, CARRAGEENAN, NATURAL FLAVOR, CITRIC ACID."
