Ingredient_name,Link,Rating,Rating_score,Irritancy,Comedogenicity,Functions,Quick_facts,Details
  Oubaku Ekisu,https://incidecoder.com/ingredients/phellodendron-amurense-bark-extract,goodie,2,,,"{'soothing': '/ingredient-functions/soothing', 'anti-acne': '/ingredient-functions/anti-acne'}",,"['A\xa0traditional East Asian medicine that has a couple of recent studies to back up its positive effects on the\xa0skin.', ""It seems to have potent anti-inflammatory activity, it's a mild antioxidant and also has strong\xa0anti-bacterial effect for acne causing bacteria, Propionibacterium acne.""]"
  Type of clay,https://incidecoder.com/ingredients/solum-fullonum,goodie,2,,,"{'viscosity controlling': '/ingredient-functions/viscosity-controlling', 'absorbent/mattifier': '/ingredient-functions/absorbent-mattifier'}",,"['Fuller\'s Earth describes types of clay\xa0that have absorbing and bleaching properties. The name comes from traditional textile workers cleaning or ""fulling"" wool with this clay. It consists mainly of the clay mineral called\xa0palygorskite (that\'s different both from kaolin or bentonite) or some\xa0type of bentonite (mainly calcium montmorillonite).', ""In cosmetic products,\xa0Fuller's Earth is used as an absorbent that can suck up excess oil from the skin. It's excellent absorbent properties also mean that too much of it can dry out the skin, so just like with bentonite, use it for good measure and moisturize after it.""]"
 18:2 cis-9,https://incidecoder.com/ingredients/linoleic-acid,goodie,2,,,"{'skin-identical ingredient': '/ingredient-functions/skin-identical-ingredient', 'emollient': '/ingredient-functions/emollient', 'surfactant/cleansing': '/ingredient-functions/surfactant-cleansing'}",,"['The famous\xa0omega-6 fatty acid,\xa0the mother of all\xa0ω-6 fatty acids in our\xa0body. It is a so-called polyunsaturated fatty acid meaning it has more than one (in this case two) double bonds and a somewhat kinky structure that makes LA and LA-rich oils a thin liquid.', 'It is also an essential fatty acid meaning our body cannot synthesize\xa0it and has to take it from food. This is not hard at all as plenty of nuts (such as flax, poppy or sesame seeds) and vegetable oils (such as sunflower or safflower) are rich in LA. The hard thing seems to be eating enough omega-3-s, more specifically\xa0eating a healthy ratio of omega-6 to omega-3, but that is a topic for a what-is-good-to-eat-site and not for us.', 'As for linoleic acid and the skin, LA is a really important little guy found naturally\xa0in our skin. It is the most abundant fatty acid in the epidermis and it serves as a structural precursor for important skin lipids called ceramides. Knowing this, it will not come as a surprise that Linoleic acid has a central role\xa0in the structure and function of stratum corneum permeability, aka healthy skin barrier.\xa0\xa0LA deficiency leads to an impaired\xa0more permeable skin barrier and the topical application of LA-rich sunflower oil can fix this issue rapidly (while oleic-rich olive oil did not have the same barrier repairing effect).', 'LA is not only important for dry, barrier damaged skin types but also for acne-prone skin. Research shows that problem skin has\xa0lower levels of linoleic acid (and higher levels of oleic acid) than normal skin. So LA-deficiency in the skin seems to be connected not only to an impaired skin barrier but also to acne and smearing LA all over your face might help with your problem skin. A double-blind study using a 2.5% LA gel for 4 weeks found a 25% reduction in the size of\xa0microcomedones,\xa0the tiny blocked pores that can later lead to acne.', 'If that was not enough, we have one more thing to report about LA.\xa0 It lightens hyperpigmentation (aka UVB caused sun spots) both by\xa0blocking the melanin production of\xa0melanocytes (the skin cells that make the pigment melanin) and by enhancing\xa0the desquamation of melanin pigment from the upper layers of the skin.', ""Overall, linoleic acid is a multi-functional skin goodie\xa0with barrier repairing, acne-reducing, and skin-lightening magic abilities. It's a nice one to spot on the ingredient list pretty much\xa0for any skin type.""]"
 3-O-Ethyl Ascorbate,https://incidecoder.com/ingredients/ethyl-ascorbic-acid,goodie,2,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'skin brightening': '/ingredient-functions/skin-brightening'}",,"[""A very stable and promising form of the skincare superstar, Vitamin C. If you do not know why Vitamin C is such a big deal in skin care, you can catch up here. In short, Vitamin C has three proven magic abilities: antioxidant, collagen booster, and skin brightener. The problem, though, is that it's very unstable, turns brown and becomes ineffective in no time (after a few month) and the cosmetics industry is trying to come up with smart derivatives that are stable and have the magic properties of pure Vitamin C."", 'Ethyl Ascorbic Acid\xa0or EAC for short is an ""etherified derivative of ascorbic acid"" that consists of vitamin C and an ethyl group bound to the third carbon position. This makes Vitamin C very stable and soluble in both\xa0water and oil.', ""However, for a Vitamin C derivative to work\xa0it's not enough just to be stable, they also have to be absorbed into the skin and be converted there to pure Vitamin C. We have good news regarding the absorption: on top of manufacturer claims, there is some\xa0data (animal study) demonstrating in can get into the skin, and it seems to be better at it than Ascorbyl Glucoside, another vitamin C derivative."", 'Regarding conversion, we can cite only\xa0a\xa0manufacturers claim\xa0saying that\xa0EAC is\xa0metabolized in the skin into pure ascorbic acid (and the ascorbic acid content of EAC is very high - 86,4% - compared to the usual 50-60% Vitamin C content of other derivatives).', ""As for the three magic abilities of Vitamin C, we again mostly have\xa0only the\xa0manufacturer's claims, but at least those are very promising. EAC seems to have both an\xa0antioxidant and anti-inflammatory effect, and it's claimed to be able to boost the skin's collagen production. The strong point of EAC\xa0though\xa0is skin brightening. On top of manufacturer claims, there is also clinical in-vivo (tested on real people) data showing that 2% EAC can improve skin tone and whiten the skin."", ""Overall, Ethyl Ascorbic Acid is a very promising but not a fully proven Vitamin C derivative. It's worth a try, especially\xa0if you are after Vitamin C's skin-brightening effects.""]"
 ALA,https://incidecoder.com/ingredients/linolenic-acid,goodie,2,,,"{'skin-identical ingredient': '/ingredient-functions/skin-identical-ingredient', 'emollient': '/ingredient-functions/emollient', 'surfactant/cleansing': '/ingredient-functions/surfactant-cleansing', 'perfuming': '/ingredient-functions/perfuming'}",,"['The famous omega-3 fatty acid,\xa0the mother of all ω-3 fatty acids in our body. Next to linoleic acid, it is the other essential fatty acid that our body cannot synthesize and we have to ingest it from our food. It is also a PUFA, aka polyunsaturated fatty acid with three double bonds, a kinky chemical structure and thus a liquid consistency.', 'While linoleic acid is abundant in the skin, this is not the case with\xa0alpha-linolenic acid (ALA). It is not entirely clear if it is meant to be like that or if this is a consequence of not eating enough Omega-3 with the typical Western diet.', 'Leafy green vegetables, walnuts, flax seeds and fish oils are rich sources of ALA and if you are not eating a lot from these, supplementing with fish oil is a pretty good idea backed by\xa0research.\xa0It is a good idea both in terms of general health benefits as well as potentially improving inflammation-related skin issues\xa0such as atopic dermatitis or acne.', ""As for using ALA topically, we have to say that its role and effects seem to be less direct than with LA. ALA's main role in the skin appears to be modulating the immune response of the epidermis. This is probably helpful for inflammatory skin diseases but most studies examine ALA as an oral\xa0supplement and not when applied topically. One exception, we could find, is a study that found that topically applied ALA has nice spot-fading abilities."", 'To be honest, it seems to us that oral supplementation of ALA is more important than smearing it all over your face. However, that is not to say that topical ALA is a bad thing, it is a good thing. It is a skin-identical ingredient, it is probably moisturizing and anti-inflammatory\xa0but its topical effects are less established than that of fellow omega fatty acid, linoleic acid.']"
 ATIP,https://incidecoder.com/ingredients/tetrahexyldecyl-ascorbate,goodie,2,,,"{'antioxidant': '/ingredient-functions/antioxidant', 'skin brightening': '/ingredient-functions/skin-brightening'}",,"['Tetrahexyldecyl Ascorbate is a stable, oil-soluble form of skincare big shot Vitamin C. If you do not know, why Vitamin C is such a big deal in skincare, click here and read all about it. We are massive vitamin C fans and have written about it in\xa0excruciating detail.', ""So now, you know that Vitamin C is great and all, but it's really unstable and gives cosmetics companies many headaches. To solve this problem they came up with vitamin C derivatives, and one of them is Tetrahexyldecyl Ascorbate (let's call it ATIP in short)."", ""It's a really promising candidate (see below), but while reading all the goodness about it in a minute, do not forget that derivatives not only have\xa0to be absorbed into the skin but also have to be\xa0converted to pure vitamin C (ascorbic acid or AA) and the efficacy of the conversion is often unknown. In addition,\xa0vitamin C's three magic properties (antioxidant, collagen booster, skin brightener) are all properly proven in-vivo (on real people), but for the derivatives, it's mostly in-vitro studies or in the\xa0case of ATIP, it's in-vitro and done by an ingredient supplier."", ""With this\xa0context in mind let's see what\xa0ATIP might be able to do. First, it is stable (if pH < 5), easy to formulate and a joy to work with for a cosmetic chemist."", ""Second, because it's oil-soluble, its skin penetration abilities seem to be great. So great in fact, that it surpasses the penetration of pure vitamin C\xa0threefold at the same concentration and it penetrates successfully into the deeper layers of the skin (that is usually important to do some anti-aging work). There is also in-vitro data showing that it converts to AA in the skin."", 'Third,\xa0ATIP seems to have all three magic abilities\xa0of pure vitamin C: it gives antioxidant protection from both UVB and UVA rays, it increases collagen synthesis (even more than AA) and it has a\xa0skin brightening effect by reducing melanogenesis by more than 80% in human melanoma cell cultures.', 'So this all sounds really great, but these are only in-vitro results at this point. We could find Tetrahexyldecyl Ascorbate mentioned only in one published\xa0in-vivo study that examined the anti-aging properties of a silicone formula containing 10% AA and 7% ATIP. The authors theorized that the 10% AA is released slowly from the silicon delivery system and probably stays in the upper layer of the skin to give antioxidant benefits, while ATIP penetrates more rapidly and deeply and gives some wrinkle-reducing benefits. The study was a small (10 patients), double-blind experiment,\xa0and the formula did show some measurable anti-aging results. However, it is hard to know how much pure vitamin C or ATIP can be thanked.', 'Bottom line: a really promising, but not well-proven vitamin C derivative that can be worth a try especially if you like experimenting (but if you like\xa0the tried and true, pure vitamin C\xa0will be your best bet).']"
 Acetyl Glutamyl Heptapeptide-1,https://incidecoder.com/ingredients/acetyl-octapeptide-3,goodie,2,,,"{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'}",,"['A newer and, molecule-wise, somewhat bigger version of the famous ""Botox-like"" peptide called\xa0Acetyl Hexapeptide-8 or Argireline. Just like\xa0Argireline,\xa0Acetyl Octapeptide-3 is also claimed to influence the muscle contraction process that results\xa0in a more relaxed and line-free face, especially around the forehead and the eyes.', ""While Argireline counts as a pretty well-proven peptide, with multiple studies confirming its anti-wrinkle efficacy, we cannot say the same for\xa0Acetyl Octapeptide-3. What we have is the\xa0manufacturer's claim\xa0that\xa0comparing 10% Argireline with 10% SNAP-8 solution (that means 0.005% pure peptide powder) the SNAP-8 peptide did a bit better as it reduced wrinkles by 34.98% vs 27.05% reduction for Argireline (twice a day use for 28 days on 17 women)."", 'Other than that, we can write here\xa0pretty much the same as at\xa0Argireline. Obviously, no peptide works as effectively as real Botox, and the Botox-inspired peptides are quick fixes rather than being collagen builders or real preventers of structural aging. They are nice additions to an anti-aging skincare routine but not the real superstars\xa0(think\xa0vitamin C,\xa0AHAs\xa0or\xa0retinol).']"
 Acetyl Hexapeptide-3,https://incidecoder.com/ingredients/acetyl-hexapeptide-8,goodie,2,,,"{'cell-communicating ingredient': '/ingredient-functions/cell-communicating-ingredient', 'moisturizer/humectant': '/ingredient-functions/moisturizer-humectant'}",,"['If you see a cosmetic product that claims that it has ""Botox-like effect"" then two things are almost certain: one, the product overpromises and two, it contains Argireline.', 'So this one is the famous peptide\xa0that\'s marketed by its manufacturer as the ""Botox in a jar"". The basis for this claim is that it targets the same wrinkle forming mechanism (wrinkles caused by facial muscle movement) as Botox, but the way it works is very different. In addition, the extent to which it can prevent muscles from contracting (and to smooth wrinkles) is very different (otherwise why would anyone use still Botox?).', 'The manufacturer did several studies to prove that\xa0Argireline really works and it does (just not as well as Botox). In-vivo (made on real people) tests showed that using 10% Argireline solution around the eyes for 15 days decreased wrinkles depth by 17%. A Spanish University also did some research and found that\xa0Argireline increased the level of skin moisturization and decreased both the depth and width of wrinkles ""significantly"".', 'This means,\xa0Acetyl Hexapeptide-8 does have some ability to smooth wrinkles (but not as well as Botox - sorry, if we sound like a broken record). Also, we have to agree with TruthInAging, that it\'s not a collagen builder and not a preventer of structural aging (think vitamin C, AHAs or retinol); it\'s just a quick fix. If you are looking for one, this could be your thing. If you are more of a ""let\'s treat this aging thing properly"" type, then it\'s probably not your thing.']"
 Acid Red 92 Phloxine,https://incidecoder.com/ingredients/ci-45410,No rating,-1,0.0,2,{'colorant': '/ingredient-functions/colorant'},,"['A cosmetic colorant used as a reddish pigment.', 'Some version of it is a pH-sensitive dye that enables a colorless lip balm to turn red/pink upon application.']"
 Al2O3,https://incidecoder.com/ingredients/alumina,No rating,-1,,,"{'viscosity controlling': '/ingredient-functions/viscosity-controlling', 'abrasive/scrub': '/ingredient-functions/abrasive-scrub', 'absorbent/mattifier': '/ingredient-functions/absorbent-mattifier'}",,"[""A multi-functional\xa0helper ingredient that's used mainly as a pigment carrier.\xa0 The pigment can be an inorganic sunscreen\xa0(such as titanium dioxide) or a colorant that is blended with\xa0alumina platelets and then often coated with some kind of silicone (such as triethoxycaprylylsilane). This special treatment enables pigments to be evenly dispersed in the formula\xa0and to be spread out easily and evenly upon application. It is super useful both for mineral sunscreens as well as for makeup products."", 'Other than that, alumina can also be\xa0used as an absorbent (sometimes combined with the mattifying powder called polymethylsilsesquioxane), a viscosity controlling or an opacifying (reduces the transparency of the formula) agent.']"
