ingredient_name,link,functions,rating,discription,rating_score
"1, 2-HEXANEDIOL",https://www.paulaschoice.com/ingredient-dictionary/preservatives/1%2C-2-hexanediol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Preservatives'],goodie,"A synthetic preservative and moisture-binding agent belonging to a class of agents known as higher molecular glycols. It is considered non-sensitizing. See preservativesReferences for this information:International Journal of Toxicology, September-October 2012, pages 147S-168SInternational Journal of Cosmetic Science, October 2011, pages 421-425Cutaneous and Ocular Toxicology, Volume 28, 2009, pages 23-24",2
10-HYDROXYDECANOIC ACID,https://www.paulaschoice.com/ingredient-dictionary/emollients/10-hydroxydecanoic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],goodie,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.,2
4-T-BUTYLCYCLOHEXANOL,https://www.paulaschoice.com/ingredient-dictionary/emollients/4-T-butylcyclohexanol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Soothing']",goodie,"A synthetic fatty alcohol that functions as an emollient and soothing agent. It can reduce skin surface stinging on contact and also has the ability to reduce visible redness on skin.References for this information:Journal of the European Academy of Dermatology and Venereology, February 2016, pages 9-16; and Volume 30 Supplement, pages 21-27Experimental Dermatology, November 2010, pages 980-986.",2
ACACIA FARNESIANA EXTRACT,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/acacia-farnesiana-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts']",icky,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit for skin.,0
ACACIA SENEGAL GUM,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acacia-senegal-gum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Plant Extracts', 'Skin-Soothing']",goodie,"Herb that can have skin soothing properties, but is used primarily as a thickening agent.",2
ACAI,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acai.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",superstar,"Acai (pronounced “ah-sigh-ee”) is a small berry with a deep purple color. It is a potent source of antioxidants, including ferulic acid and epicatechin. According to in vitro research, açai has higher antioxidant content than cranberry, raspberry, blackberry, strawberry, or blueberry, but that doesn’t necessarily mean it is the best antioxidant—just one of many to choose from when it comes to your skincare products. Consumed orally via supplement, juice, or as a whole food, acai has been shown to exert potent antioxidant benefits and reduce the cascade of damage caused by the overproduction of free radicals. References for this information:  Journal of Traditional and Complementary Medicine, April 2018, pages 267-277 Journal of Drugs in Dermatology, June 2010, pages 72-81 Journal of Agricultural and Food Chemistry, November 2006, pages 8604-8610",3
ACETIC ACID,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],icky,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin, though it also has disinfecting properties.",0
ACETONE,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/acetone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sensitizing'],icky,Strong solvent that is used in nail polish removers.,0
ACETYLATED CASTOR OIL,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-castor-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",goodie,Used as an emollient and thickening agent in cosmetics.,2
ACETYLATED HYDROGENATED COTTONSEED GLYCERIDE,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-hydrogenated-cottonseed-glyceride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",goodie,Used as an emollient and thickening agent in cosmetics.,2
ACETYLATED LANOLIN,https://www.paulaschoice.com/ingredient-dictionary/emollients/acetylated-lanolin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],goodie,Emollient derived from lanolin.,2
ACETYLATED LANOLIN ALCOHOL,https://www.paulaschoice.com/ingredient-dictionary/emollients/acetylated-lanolin-alcohol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],goodie,"An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed from an alcohol and an acid with the elimination of water, and are common among cosmetic ingredients.",2
ACETYLATED PALM KERNEL GLYCERIDES,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetylated-palm-kernel-glycerides.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",goodie,Used as an emollient and thickening agent in cosmetics.,2
ACETYL CARNITINE HCL,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/acetyl-carnitine-hcl.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],superstar,,3
ACETYL GLUCOSAMINE,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/acetyl-glucosamine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Replenishing', 'Antioxidants', 'Skin-Soothing', 'Hydration']",superstar,"Acetyl glucosamine is an amino-monosaccharide (simple sugar) and a precursor of hyaluronic acid (meaning it helps skin make hyaluronic acid). Hyaluronic acid is a fundamental component of skin since it’s responsible for helping skin to maintain normal hydration and elasticity. Acetyl glucosamine has also been shown to be effective in reducing visible discolorations when paired with the B vitamin niacinamide, and can help reinforce skin’s supportive elements. This multi-purpose skin-improver is also an antioxidant and has soothing properties. Although pure acetyl glucosamine is considered unstable, a synthetic or bio-fermented derivative known as n-acetyl glucosamine is stable and highly effective. This is the type Paula’s Choice Skincare uses in our 10% and 20% niacinamide treatments and RESIST eye cream, since it is also vegan (pure acetyl glucosamine is typically derived from shellfish). References for this information: International Journal of Pharmaceutics, March 2020, pages 1–10 Life Sciences, May 2016, pages 21-29 Drug Design, Development and Therapy, August 2014, pages 1,923–1,928 Journal of Cosmetic Dermatology, June 2013, pages 96-102; and December 2006, pages 309-315 Dermato-endocrinology, July 2012, pages 253–258",3
ACETYL GLYCERYL RICINOLEATE,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/acetyl-glyceryl-ricinoleate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Texture Enhancer', 'Emollients']",goodie,Used as an emollient and thickening agent in cosmetics.,2
ACETYL HEXAPEPTIDE-1,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-1.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],superstar,"Acetyl hexapeptide-1 is a synthetic peptide composed of the amino acids alanine, arginine, histidine, leucine, phenylalanine and tryptophan. It helps skin better defend itself from environmental aggressors by virtue of a calming effect. This peptide can also help promote a visibly more even skin tone by playing a role in how melanin moves through skin. Reference for this information: International Journal of Molecular Sciences, February 2018, ePublication",3
ACETYL HEXAPEPTIDE-37,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/acetyl-hexapeptide-37.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],superstar,"Acetyl hexapeptide-37 is a synthetic peptide composed of the amino acids alanine, proline, serine and glycine. This peptide works with the water channels (known as aquaporins) in skin’s surface layers, helping to provide adequate, balanced hydration between skin’s layers, a process which alleviates signs of dry, dehydrated skin. Although there isn’t independent research confirming the effectiveness of this peptide on skin, the supplier (Lipotec) has made the results of their research available in a lengthy Technical Report that’s supported by third-party studies. Between this information and the wider field of published scientific research on peptides for skin, we feel confident recommending this peptide, particularly for dehydrated skin.",3
