cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img
Men,After Shave,https://www.ewg.org/skindeep/products/701971-Soap_for_Goodness_Sake_Sandalwood_Aftershave_Balm/,Soap for Goodness Sake,Sandalwood Aftershave Balm,verified,https://static.ewg.org/skindeep_images/7019/701971.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/772859-Paul_Penders_Mens_Best_After_Shave_Lotion/,Paul Penders,Men's Best After Shave Lotion,verified,https://static.ewg.org/skindeep_images/7728/772859.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/701961-Soap_for_Goodness_Sake_Patchouli_Aftershave_Balm/,Soap for Goodness Sake,Patchouli Aftershave Balm,verified,https://static.ewg.org/skindeep_images/7019/701961.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897645-HealingScents_Aftershave_BayRum_Lime/,Healing-Scents,"Aftershave, Bay-Rum Lime",01,https://static.ewg.org/skindeep_images/8976/897645.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897641-HealingScents_Aftershave_Herbal/,Healing-Scents,"Aftershave, Herbal",01,https://static.ewg.org/skindeep_images/8976/897641.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/933017-Moor_Spa_Man_Aftershave_Balm/,Moor Spa,Man Aftershave Balm,01,https://static.ewg.org/skindeep_images/9330/933017.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/570658-Badger_After_Shave_Moisturizing_Oil/,Badger,After Shave Moisturizing Oil,01,https://static.ewg.org/skindeep_images/5706/570658.png
Men,After Shave,https://www.ewg.org/skindeep/products/656573-Herbaliz_Aftershave_/,Herbaliz,Aftershave,01,https://static.ewg.org/skindeep_images/6565/656573.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/917337-Pacific_Shaving_Co_After_Shave_Balm_and_Daily_Face_Lotion/,,Pacific Shaving Co. After Shave Balm and Daily Face Lotion,01,https://static.ewg.org/skindeep_images/9173/917337.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897644-HealingScents_Aftershave_Cedar_Forest/,Healing-Scents,"Aftershave, Cedar Forest",01,https://static.ewg.org/skindeep_images/8976/897644.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/900722-Garden_of_Eve_Adams_After_Shave_Toner/,Garden of Eve Skin Care,Garden of Eve Adam's After Shave Toner,01,https://static.ewg.org/skindeep_images/9007/900722.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897642-HealingScents_Aftershave_Fireside/,Healing-Scents,"Aftershave, Fireside",01,https://static.ewg.org/skindeep_images/8976/897642.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897646-HealingScents_Aftershave_Bay_Rum/,Healing-Scents,"Aftershave, Bay Rum",01,https://static.ewg.org/skindeep_images/8976/897646.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897639-HealingScents_Aftershave_LavenderMinty_/,Healing-Scents,"Aftershave, Lavender-Minty",02,https://static.ewg.org/skindeep_images/8976/897639.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/884171-Every_Man_Jack_Skin_Face_Lotion_and_Post_Shave_Fragrance_free/,Every Man Jack,"Skin Face Lotion and Post Shave, Fragrance free",02,https://static.ewg.org/skindeep_images/8841/884171.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/705392-Em__El_Organics_Smooth_Sailing_Aftershave_Balm/,Em & El Organics,Smooth Sailing Aftershave Balm,02,https://static.ewg.org/skindeep_images/7053/705392.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897511-Young_Living_Shutran_Aftershave_Lotion/,Young Living,Shutran Aftershave Lotion,02,https://static.ewg.org/skindeep_images/8975/897511.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/887344-Solo_Noir_Brave_2_in_1_Aftershave__Toner/,,Solo Noir Brave 2 in 1 Aftershave + Toner,02,https://static.ewg.org/skindeep_images/8873/887344.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/819890-Andalou_Naturals_Men_Cooling_Post_Shave/,Andalou Naturals,Men Cooling Post Shave,02,https://static.ewg.org/skindeep_images/8198/819890.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/648304-Badger_Bracing_After_Shave_Face_Tonic_/,Badger,Bracing After Shave Face Tonic,02,https://static.ewg.org/skindeep_images/6483/648304.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897643-HealingScents_Aftershave_Exotic_Spice/,Healing-Scents,"Aftershave, Exotic Spice",02,https://static.ewg.org/skindeep_images/8976/897643.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897638-HealingScents_Aftershave_PatchouliTea_Tree/,Healing-Scents,"Aftershave, Patchouli-Tea Tree",02,https://static.ewg.org/skindeep_images/8976/897638.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/810128-HERBIVORE_Post_Shave_Cedar__Bergamot/,HERBIVORE,"Post Shave, Cedar + Bergamot",02,https://phorcys-static.ewg.org/brand_logo/logos/14528/medium.png?1533222839
Men,After Shave,https://www.ewg.org/skindeep/products/885790-Bc_Skin_Tight_Razor_Bump__Ingrown_Hair_Ointment_Extra_Strength_/,B & C,"B&c Skin Tight Razor Bump & Ingrown Hair Ointment, Extra Strength",03,https://static.ewg.org/skindeep_images/8857/885790.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/897640-HealingScents_Aftershave_Key_Lime/,Healing-Scents,"Aftershave, Key Lime",03,https://static.ewg.org/skindeep_images/8976/897640.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/886997-O_My_Goat_Milk_After_Shave_Lotion_Ocean_Blue/,O'My,"O My! Goat Milk After Shave Lotion, Ocean Blue",03,https://static.ewg.org/skindeep_images/8869/886997.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/936959-Aesop_Moroccan_Neroli_PostShave_Lotion/,Aesop,Moroccan Neroli Post-Shave Lotion,03,https://static.ewg.org/skindeep_images/9369/936959.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/877733-Harrys_Post_Shave_Mist_With_Botanical_Extracts/,Harry's,Post Shave Mist With Botanical Extracts,03,https://static.ewg.org/skindeep_images/8777/877733.jpg
Men,After Shave,https://www.ewg.org/skindeep/products/886993-O_My_Goat_Milk_After_Shave_Lotion_Nobleman/,O'My,"O My! Goat Milk After Shave Lotion, Nobleman",03,https://static.ewg.org/skindeep_images/8869/886993.jpg
