cat_name,subcat_name,product_url,product_brand,product_name,product_score,product_img,ingredient_list,new_ing_list
Sun,After Sun Product,https://www.ewg.org/skindeep/products/707220-ATTITUDE_little_ones_Aftersun_meltin_Gel_Calendula_Tutti_Fruti/,ATTITUDE,"little ones Aftersun melt-in Gel, Calendula, Tutti Fruti",verified,https://static.ewg.org/skindeep_images/7072/707220.jpg,"Aqua, butyrospermum parkii (shea) butter, dicaprylyl ether, glycerin, cocos nucifera (coconut) oil, stearyl alcohol, tribehenin, glyceryl stearate, lysolecithin, sclerotium gum, xanthan gum, pullulan, levulinic acid, sodium levulinate, magnolia officinalis bark extract, calendula officinalis flower extract, biosaccharide gum-1, allyl caproate (pineapple fruit), allyl heptanoate (sweet fruit), raspberry ketone.","['AQUA', 'BUTYROSPERMUM PARKII BUTTER', 'DICAPRYLYL ETHER', 'GLYCERIN', 'COCOS NUCIFERA OIL', 'STEARYL ALCOHOL', 'TRIBEHENIN', 'GLYCERYL STEARATE', 'LYSOLECITHIN', 'SCLEROTIUM GUM', 'XANTHAN GUM', 'PULLULAN', 'LEVULINIC ACID', 'SODIUM LEVULINATE', 'MAGNOLIA OFFICINALIS BARK EXTRACT', 'CALENDULA OFFICINALIS FLOWER EXTRACT', 'BIOSACCHARIDE GUM-1', 'PINEAPPLE FRUIT', 'ALLYL HEPTANOATE', 'RASPBERRY KETONE']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/671517-Aromatica_95_Organic_Aloe_Vera_Gel/,AROMATICA,95% Organic Aloe Vera Gel,verified,https://static.ewg.org/skindeep_images/6715/671517.jpg,"ALOE BARBADENSIS LEAF EXTRACT, PROPANEDIOL, ROSMARINUS OFFICINALIS LEAF WATER, SODIUM CARBOMER, ZANTHOXYLUM PIPERITUM FRUIT EXTRACT, USNEA BARBATA (LICHEN) EXTRACT, Pulsatilla Koreana Extract, PHENETHYL ALCOHOL","['ALOE BARBADENSIS LEAF EXTRACT', 'PROPANEDIOL', 'ROSMARINUS OFFICINALIS LEAF WATER', 'SODIUM CARBOMER', 'ZANTHOXYLUM PIPERITUM FRUIT EXTRACT', 'USNEA BARBATA EXTRACT', 'PULSATILLA KOREANA EXTRACT', 'PHENETHYL ALCOHOL']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/823174-Olita_After_Sun_Body_Serum_Fragrance_Free/,Olita,"After Sun Body Serum, Fragrance Free",verified,https://static.ewg.org/skindeep_images/8231/823174.jpg,"Cocos Nucifera (Coconut) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Aloe Barbadensis (Aloe Vera) Leaf Oil, Prunus Armeniaca (Apricot) Kernel Oil, Vitis Vinifera (Grape) Seed Oil, Isopropyl Myristate, Capric/Caprylic Triglyceride, Tocopherol (Vitamin E) Acetate","['COCOS NUCIFERA OIL', 'CARTHAMUS TINCTORIUS SEED OIL', 'ALOE BARBADENSIS LEAF', 'PRUNUS ARMENIACA KERNEL OIL', 'VITIS VINIFERA SEED OIL', 'ISOPROPYL MYRISTATE', 'CAPRIC TRIGLYCERIDE', 'TOCOPHERYL ACETATE']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/710965-Vikas_Essentials_Prodigal_Sun_Oil_Blend/,Vika's Essentials,'Prodigal Sun' Oil Blend,verified,https://static.ewg.org/skindeep_images/7109/710965.jpg,"Sesame Oil (Sesamum indicum)*, Coconut Oil (Cocos nucifera)*, Rose Hip Seed Oil (Rosa rubiginosa)*, Tamanu Oil (Calophyllum inophyllum)*, Sea Buckthorn Oil (Hippophae rhamnoides)* , Lavender (Lavandula angustifolia)*, Carrot Seed Oil (Daucus carota)*, Chamomile Oil (Matricaria chamomilla)*","['SESAMUM INDICUM SEED', 'COCONUT OIL DECYL ESTERS', 'PSEUDOMONAS AERUGINOSA', 'CALOPHYLLUM INOPHYLLUM) SEED OIL', 'HIPPOPHAE RHAMNOIDES ACID', '(LAVANDULA ANGUSTIFOLIA', 'DAUCUS CAROTA', 'CHAMOMILLA RECUTITA (MATRICARIA) FLOWER']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/899338-Olita_After_Sun_Body_Serum_Soothing_Citrus/,Olita,"After Sun Body Serum, Soothing Citrus",verified,https://static.ewg.org/skindeep_images/8993/899338.jpg,"Cocos Nucifera (Coconut) Oil, Carthamus Tinctorius (Safflower) Seed Oil, Aloe Barbadensis (Aloe Vera) Leaf Oil, Prunus Armeniaca (Apricot) Kernel Oil, Vitis Vinifera (Grape) Seed Oil, Isopropyl Myristate, Capric/Caprylic Triglyceride, Tocopherol (Vitamin E) Acetate, Citrus Racemosa (Pink Grapefruit) Peel Oil, Citrus Sinensis (Orange) Peel Oil.","['COCOS NUCIFERA OIL', 'CARTHAMUS TINCTORIUS SEED OIL', 'ALOE BARBADENSIS LEAF', 'PRUNUS ARMENIACA KERNEL OIL', 'VITIS VINIFERA SEED OIL', 'ISOPROPYL MYRISTATE', 'CAPRIC TRIGLYCERIDE', 'TOCOPHERYL ACETATE', 'CITRUS TANGERINA PEEL OIL', 'CITRUS SINENSIS PEEL OIL EXPRESSED']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/771244-Attitude_After_Sun_MeltIn_Gel_Mint__Cucumber/,ATTITUDE,"After Sun Melt-In Gel, Mint & Cucumber",verified,https://phorcys-static.ewg.org/image/contents/500943/medium.png?1557332192,"Aqua/water/eau, butyrospermum parkii (shea) butter, glycerin, cocos nucifera (coconut) oil, dicaprylyl ether, stearyl alcohol, tribehenin, lysolecithin, sclerotium gum, levulinic acid, polyglyceryl-2-stearate, glyceryl stearate, sodium levulinate, xanthan gum, pullulan, potassium sorbate, calendula officinalis flower extract, silica, biosaccharide gum-1, 3-hexenol (green leaves), menthol, geranyl acetate (herbal)","['CAVIAR WATER', 'BUTYROSPERMUM PARKII BUTTER', 'GLYCERIN', 'COCOS NUCIFERA OIL', 'DICAPRYLYL ETHER', 'STEARYL ALCOHOL', 'TRIBEHENIN', 'LYSOLECITHIN', 'SCLEROTIUM GUM', 'LEVULINIC ACID', 'POLYGLYCERYL-2 STEARATE', 'GLYCERYL STEARATE', 'SODIUM LEVULINATE', 'XANTHAN GUM', 'PULLULAN', 'POTASSIUM SORBATE', 'CALENDULA OFFICINALIS FLOWER EXTRACT', 'SILICA', 'BIOSACCHARIDE GUM-1', '3-HEXENYL ACETATE', 'MENTHOL', 'GERANYL ACETATE']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/772842-Paul_Penders_Herbal_AfterSun_Lotion/,Paul Penders,Herbal After-Sun Lotion,verified,https://static.ewg.org/skindeep_images/7728/772842.jpg,"Aqua*, Cocos nucifera (Coconut) extract, Glycerin, Cetearyl olivate, Sorbitan olivate, Carthamus tinctorius (Safflower) oil, Theobroma cacao (Cocoa) seed butter, Sesamum indicum (Sesame) seed oil, Prunus dulcis (Sweet almond) oil, Orbigya oleifera (Babassu) oil, Calendula officinalis (Calendula) flower oil, Tocopherol acetate (Vitamin E), Lavendula officinalis (Lavender) oil, Cocos nucifera (Coconut) oil, Angelica archangelica (Angelica) powder**, Arnica montana (Arnica) flower powder**, Calendula officinalis (Calendula) flower powder**, Matricaria recutita (Chamomile) flower powder**, Sambucus nigra (Elderflower) flower powder**, Zingiber officinalis (Ginger) root powder**, Panax quinquefolium (Ginseng) root powder**, Lonicera japonica (Honeysuckle) powder**, Humulus lupulus (Hops) powder**, Equisetum hyemale (Horsetail) powder**, Juniperus communis (Juniper) fruit powder**, Lavandula angustifolia (Lavender) flower powder**, Melissa officinalis (Lemon balm) leaf powder**, Urtica dioica (Nettle) powder**, Centella asiatica (Pennywort) powder**, Mentha piperita (Peppermint) leaf powder**, Rosemarinus officinalis (Rosemary) powder**, Salvia officinalis (Sage) powder**, Hypericum perforatum (St. John's wort) powder**, Curcuma longa (Turmeric) root powder**, Hamamelis virginiana (Witch hazel) powder**, Archillea millefolium (Yarrow) powder**, Phyto-tocotrienol (Vitamin E), Rosemarinus officinalis (Rosemary) oil, Ananas comosus (Bromelain) extract, Carica papaya (Papain) extract, Pelargium Graveolens (Geranium) oil, Ubiquinone (Coenzyme Q10), Caprylhydroxamic acid (amino acid), glyceryl caprylate(1); Citronellol (2), Limonene (2), Coumarin (2), Geraniol (2), Linalool (2)","['AQUA', 'COCOS NUCIFERA FRUIT EXTRACT', 'GLYCERIN', 'CETEARYL OLIVATE', 'SORBITAN OLIVATE', 'CARTHAMUS TINCTORIUS FLOWER', 'THEOBROMA CACAO SEED BUTTER', 'SESAMUM INDICUM SEED OIL', 'SWEET ALMOND OIL', 'ORBIGNYA OLEIFERA SEED OIL', 'CALENDULA OFFICINALIS FLOWER OIL', 'TOCOPHERYL ACETATE', 'LAVANDULA OFFICINALIS FLOWER OIL', 'COCOS NUCIFERA OIL', 'ANGELICA ARCHANGELICA SEED POWDER', 'ARNICA MONTANA FLOWER WATER', 'CALENDULA OFFICINALIS FLOWER WATER', 'MATRICARIA RECUTITA FLOWER OIL', 'SAMBUCUS NIGRA FLOWER WATER', 'ZINGIBER OFFICINALE ROOT POWDER', 'PANAX NOTOGINSENG ROOT POWDER', 'LONICERA JAPONICA FLOWER', 'HUMULUS LUPULUS FLOWER', 'EQUISETUM ARVENSE POWDER', 'JUNIPERUS COMMUNIS FRUIT WATER', 'LAVANDULA ANGUSTIFOLIA FLOWER POWDER', 'MELISSA OFFICINALIS LEAF POWDER', 'URTICA DIOICA LEAF POWDER', 'CENTELLA ASIATICA FLOWER', 'MENTHA PIPERITA LEAF WATER', 'ROSMARINUS OFFICINALIS LEAF POWDER', 'SALVIA OFFICINALIS LEAF POWDER', 'HYPERICUM PERFORATUM) FLOWER', 'CURCUMA LONGA ROOT POWDER', 'HAMAMELIS VIRGINIANA WATER', 'ACHILLEA MILLEFOLIUM FLOWER', 'N-NICOTINOYL TYRAMINE', 'ROSMARINUS OFFICINALIS STEM OIL', 'ANANAS SATIVUS FRUIT EXTRACT', 'CARICA PAPAYA LEAF EXTRACT', 'PELARGONIUM GRAVEOLENS LEAF OIL', 'UBIQUINONE FERMENT', 'CAPRYLHYDROXAMIC ACID', 'GLYCERYL CAPRYLATE', 'LIMONENE', 'COUMARIN', 'GERANIOL', 'LINALOOL']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/920368-Beautycounter_Countersun_After_Sun_Cooling_Gel/,Beautycounter,Countersun After Sun Cooling Gel,verified,https://static.ewg.org/skindeep_images/9203/920368.jpg,"Aqua/Water/Eau, Propanediol, Niacinamide, Glycerin, Xanthan Gum, Carrageenan, Pyrus Malus (Apple) Fruit Extract, Aloe Barbadensis Leaf Juice, Sodium Benzoate, Vanillin, Ascophyllum Nodosum Extract, Triethyl Citrate, Eschscholzia Californica Leaf Cell Extract, Benzyl Acetate, Sodium Hyaluronate, Gamma-Nonalactone, Potassium Sorbate, Cananga Odorata Flower Oil, Hippophae Rhamnoides Fruit Juice, Methyl Anthranilate.","['CAVIAR WATER', 'PROPANEDIOL', 'NIACINAMIDE', 'GLYCERIN', 'XANTHAN GUM', 'CARRAGEENAN', 'PYRUS MALUS FRUIT EXTRACT', 'ALOE BARBADENSIS LEAF JUICE', 'SODIUM BENZOATE', 'VANILLIN', 'ASCOPHYLLUM NODOSUM EXTRACT', 'TRIETHYL CITRATE', 'ESCHSCHOLZIA CALIFORNICA LEAF CELL EXTRACT', 'BENZYL ACETATE', 'SODIUM HYALURONATE', 'GAMMA-NONALACTONE', 'POTASSIUM SORBATE', 'CANANGA ODORATA FLOWER OIL', 'HIPPOPHAE RHAMNOIDES FRUIT JUICE', 'METHYL ANTHRANILATE']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/792875-Badger_Aloe_Vera_Gel_Unscented/,Badger,"Aloe Vera Gel, Unscented",01,https://static.ewg.org/skindeep/img/ewg_missing_product.png,"*^Aloe Barbadensis (Aloe) Juice, Xanthan Gum, Water (and) Gluconic Acid (and) Sodium Benzoate, Glyceryl Caprylate, Citric Acid","['ALOE BARBADENSIS LEAF JUICE', 'XANTHAN GUM', 'DIETHYLENE GLYCOL DIBENZOATE', 'GLYCERYL CAPRYLATE', 'CITRIC ACID']"
Sun,After Sun Product,https://www.ewg.org/skindeep/products/656659-Herbaliz_Sunburn_Relief_/,Herbaliz,Sunburn Relief,01,https://static.ewg.org/skindeep_images/6566/656659.jpg,"Aloe Barbadensis (Aloe)*, Lavandula Angustifolia (Lavender) Essential Oil*, Rosa Mosqueta (Rose Hips) Seed Oil*, Tocopherol (Vitamin E). *Certified Organic","['ALOE BARBADENSIS LEAF', 'LAVANDULA ANGUSTIFOLIA FLOWER OIL', 'ROSA MOSCHATA SEED OIL', 'TOCOPHEROL FERMENT EXTRACT FILTRATE']"
