chemical_id,id,name,description,rating,category_id,functions
112,153,Alpha-Methyl Ionone,"Hương liệu gây kích ứng mạnh, có nguy cơ gây ra kích ứng da dù ở các nồng độ thấp đến 0,001%",1,Pending,Pending
113,154,Alteromonas Ferment Extract,nó có tính ngậm nước và được xem là một thành phần làm dịu da hiệu quả,4,[124],['Chiết xuất thực vật']
115,156,Althea Officinalis,"Althea officinalis, hoặc rễ Marshmallow, có chứa nhiều polysaccharides tinh bột và chất nhầy, tạo thành lớp gel bảo vệ da cùng với flavonoid và anthocyanidins. Lớp gel bảo vệ da có hiệu quả làm dịu sự kích ứng và giảm viêm. Rễ của Marshmallow có thể thúc đẩy quá trình tạo mô và tăng độ ẩm da trong khi da thiếu nước. Marshmallow được sử dụng trong mỹ phẩm vì đặc tính làm dịu và dưỡng ẩm.",5,"[115, 124]","['Chất làm dịu da', 'Chiết xuất thực vật']"
115,157,"Marshmallow Root Extract, Marshmallow","Althea officinalis, hoặc rễ Marshmallow, có chứa nhiều polysaccharides tinh bột và chất nhầy, tạo thành lớp gel bảo vệ da cùng với flavonoid và anthocyanidins. Lớp gel bảo vệ da có hiệu quả làm dịu sự kích ứng và giảm viêm. Rễ của Marshmallow có thể thúc đẩy quá trình tạo mô và tăng độ ẩm da trong khi da thiếu nước. Marshmallow được sử dụng trong mỹ phẩm vì đặc tính làm dịu và dưỡng ẩm.",5,"[115, 124]","['Chất làm dịu da', 'Chiết xuất thực vật']"
116,158,Aluminium,"sử dụng an toàn trong mỹ phẩm, thuốc men và thiết bị y tế.",4,[138],['Chưa phân loại']
117,159,Aluminium/Magnesium Stearate,"sử dụng an toàn trong mỹ phẩm, thuốc men và thiết bị y tế.",4,[138],['Chưa phân loại']
118,160,Aluminum,"sử dụng an toàn trong mỹ phẩm, thuốc men và thiết bị y tế.",4,[138],['Chưa phân loại']
119,161,Aluminum Chloride,Muối kiềm được sử dụng để cân bằng độ pH trong các sản phẩm chăm sóc da; sử dụng không đúng nồng độ có thể gây vấn đề cho da.,3,[114],['Hấp thụ dầu']
120,162,Aluminum Dimyristate,"là một axit béo tự nhiên xuất hiện trong một số loại thực phẩm. Axit Myristic tinh khiết xuất hiện dưới dạng chất rắn tinh thể bóng cứng, màu trắng hoặc mờ nhạt, hoặc dạng bột màu trắng hoặc vàng trắng",4,[126],['Chất tạo màng/giữ kết cấu sản phẩm']
121,163,Aluminum Distearate,"là một axit béo tự nhiên xuất hiện trong một số loại thực phẩm. Axit Myristic tinh khiết xuất hiện dưới dạng chất rắn tinh thể bóng cứng, màu trắng hoặc mờ nhạt, hoặc dạng bột màu trắng hoặc vàng trắng",4,Pending,Pending
122,164,Aluminum Hydroxide,"có chức năng như một chất cản quang, chất tạo màu và chất hấp thụ, hoàn toàn an toàn cho da",4,"[113, 114]","['Tạo kết cấu sản phẩm', 'Hấp thụ dầu']"
123,165,Amethyst Extract,"Thạch anh tím là một tinh thể mà nhiều người biết đến vẻ đẹp trang trí và sự hiện diện chữa bệnh của nó trong nhà - nhưng ít người biết được lợi ích của da chữa bệnh.$1Những khoáng chất này không chỉ ảnh hưởng đến tâm trí và tính khí của bạn mà còn có lợi ích chăm sóc da. Cũng giống như vitamin, cơ thể chúng ta cũng cần khoáng chất, và vì chúng ta được tạo thành từ nước, khoáng chất và mô, chúng có lợi cho cơ thể và làn da của chúng ta.",4,"[132, 133]","['Chất dưỡng da', 'Chất hồi phục da']"
124,166,Aminopropyl Ascorbyl Phosphate,"Dimethicone, còn được gọi là polydimethylsiloxan, là một polymer dựa trên silicon là một phân tử tổng hợp nhân tạo được tạo thành từ các đơn vị lặp lại được gọi là monome. Silicon là nguyên tố phổ biến thứ hai trong lớp vỏ trái đất sau oxy, và silicon dioxide còn được gọi là cát, thường được tìm thấy trên các bãi biển và bờ biển. Dimethicone cũng có thể được tìm thấy trong nhiều loại dầu ăn, thực phẩm chế biến và các món ăn nhanh như cốm gà và khoai tây chiên.",4,"[126, 132, 133]","['Chất tạo màng/giữ kết cấu sản phẩm', 'Chất dưỡng da', 'Chất hồi phục da']"
125,167,Aminopropyl Dimethicone,"Dimethicone, còn được gọi là polydimethylsiloxan, là một polymer dựa trên silicon là một phân tử tổng hợp nhân tạo được tạo thành từ các đơn vị lặp lại được gọi là monome. Silicon là nguyên tố phổ biến thứ hai trong lớp vỏ trái đất sau oxy, và silicon dioxide còn được gọi là cát, thường được tìm thấy trên các bãi biển và bờ biển. Dimethicone cũng có thể được tìm thấy trong nhiều loại dầu ăn, thực phẩm chế biến và các món ăn nhanh như cốm gà và khoai tây chiên.",4,"[126, 132, 133]","['Chất tạo màng/giữ kết cấu sản phẩm', 'Chất dưỡng da', 'Chất hồi phục da']"
126,168,Ammonium,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
127,169,Ammonium Acryloyl Dimethyltaurate,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
128,170,Ammonium Acryloyl Dimethyltaurate/Vp Copolymer,"nó là một trong những thành phần chính được sử dụng trong sản phẩm tạo kiểu tóc để giữ nếp tóc. Khi dùng lượng nhỏ trong sản phẩm chăm sóc da, nó sẽ để lại một lớp màng vô hình trên da được coi là giữ nước cho da. Nó có thể kích ứng da đối với một số cá nhân.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
129,171,Ammonium Acryloyldimtaurat,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4,"[113, 126]","['Tạo kết cấu sản phẩm', 'Chất tạo màng/giữ kết cấu sản phẩm']"
