cat_name,product_brand,product_name,product_url,product_rating,product_price,product_volume,product_img
Skin care,Glossier,Priming Moisturizer Balance Oil-Control Gel Cream,https://www.beautypedia.com/products/priming-moisturizer-balance-oil-control-gel-cream/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$25.00,1.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/C0B5A502-9E0D-430C-9F90-ADC38536B1D6_glossierlogo.png?w=300
Skin care,Tula Skincare,Face Filter Blurring & Moisturizing Primer,https://www.beautypedia.com/products/face-filter-blurring-moisturizing-primer/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$34.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/Tula-Skincare-Face-Filter-Blurring-Moisturizing-Primer.jpg?w=300
Skin care,Fenty Beauty,Slip Shine Sheer Shiny Lipstick,https://www.beautypedia.com/products/slip-shine-sheer-shiny-lipstick/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,4,$22.00,0.098 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/A204B969-20A4-42C3-ADD1-E075E18B40BC_FentyLogo.jpg?w=300
Skin care,Fenty Beauty,Cheeks Out Freestyle Cream Blush,https://www.beautypedia.com/products/cheeks-out-freestyle-cream-blush/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,5,$20.00,0.1 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/A204B969-20A4-42C3-ADD1-E075E18B40BC_FentyLogo.jpg?w=300
Skin care,Maybelline New York,The Falsies Lash Mask,https://www.beautypedia.com/products/the-falsies-lash-mask/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,2,$6.99,0.33 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/07/Maybelline-The-Falsies-Lash-Mask.jpg?w=300
Skin care,Maybelline New York,Glass Spray Make-Up Finishing Spray,https://www.beautypedia.com/products/glass-spray-make-up-finishing-spray/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$9.99,3.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/07/Maybelline-Glass-Spray-Make-Up-Finishing-Spray.jpg?w=300
Skin care,Good Molecules,Silicone-Free Priming Moisturizer,https://www.beautypedia.com/products/silicone-free-priming-moisturizer/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,4,$14.00,1.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2019/02/Good-Molecules-Brand-Logo.png?w=300
Skin care,Maybelline New York,Color Strike Cream-to-Powder Shadow Pen,https://www.beautypedia.com/products/color-strike-cream-to-powder-shadow-pen/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,2,$6.99,0.02 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/07/Maybelline-Color-Strike-Cream-to-Powder-Shadow-Pen.jpg?w=300
Skin care,Maybelline New York,Brow Extensions Fiber Pomade Crayon,https://www.beautypedia.com/products/brow-extensions-fiber-pomade-crayon/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$7.99,0.014 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/07/Maybelline-Brow-Extensions-Fiber-Pomade-Crayon.jpg?w=300
Skin care,L'Oreal Paris,Le Liner Signature Smooth Glide Mechanical Eyeliner,https://www.beautypedia.com/products/le-liner-signature-smooth-glide-mechanical/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$10.99,0.01 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/07/LOreal-Le-Liner-Signature-Smooth-Glide-Mechanical.jpg?w=300
Skin care,Kosas,Revealer Super Creamy + Brightening Concealer,https://www.beautypedia.com/products/revealer-super-creamy-brightening-concealer/?archive_search=%2Fmakeup%2F%3Fsize%3D96 ,3,$28.00,0.2 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/06/Kosas-Brand-Logo.png?w=300
