cat_name,product_brand,product_name,product_url,product_rating,product_price,product_volume,product_img
Skin care,First Aid Beauty,FAB Pharma BHA Acne Spot Treatment Gel 2% Salicylic Acid,https://www.beautypedia.com/products/fab-pharma-bha-acne-spot-treatment-gel-2-salicylic-acid/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$26.00,0.75 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/First-Aid-Beauty-FAB-Pharma-BHA-Acne-Spot-Treatment-Gel-2-Salicylic-Acid.jpg?w=300
Skin care,COSRX,Refresh AHA BHA Vitamin C Daily Toner,https://www.beautypedia.com/products/refresh-aha-bha-vitamin-c-daily-toner/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,3,$28.00,9.46 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2020/10/COSRX-Refresh-AHA-BHA-Vitamin-C-Daily-Toner.jpg?w=300
Skin care,Glossier,Super Bounce Hyaluronic Acid + Vitamin B5 Serum,https://www.beautypedia.com/products/super-bounce/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$28.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/C0B5A502-9E0D-430C-9F90-ADC38536B1D6_glossierlogo.png?w=300
Skin care,Glossier,Super Glow Vitamin C + Magnesium Serum,https://www.beautypedia.com/products/super-glow/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,3,$28.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/C0B5A502-9E0D-430C-9F90-ADC38536B1D6_glossierlogo.png?w=300
Skin care,Glossier,Super Pure Niacinamide + Zinc Serum,https://www.beautypedia.com/products/super-pure/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$28.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/C0B5A502-9E0D-430C-9F90-ADC38536B1D6_glossierlogo.png?w=300
Skin care,Stratia,Velvet Cleansing Milk,https://www.beautypedia.com/products/velvet-cleansing-milk/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$15.00,4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/60C4C0A0-B392-4558-A048-E3D93697F34E_stratialogo.jpg?w=256
Skin care,Stratia,Night Shift,https://www.beautypedia.com/products/night-shift/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$28.00,1.7 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/60C4C0A0-B392-4558-A048-E3D93697F34E_stratialogo.jpg?w=256
Skin care,Stratia,C+C Serum,https://www.beautypedia.com/products/cc-serum/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,5,$25.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/60C4C0A0-B392-4558-A048-E3D93697F34E_stratialogo.jpg?w=256
Skin care,Glossier,Solution Exfoliating Skin Perfector,https://www.beautypedia.com/products/solution-exfoliating-skin-perfector/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,4,$24.00,4.4 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/07/C0B5A502-9E0D-430C-9F90-ADC38536B1D6_glossierlogo.png?w=300
Skin care,Fourth Ray Beauty,Watermelon Face Milk,https://www.beautypedia.com/products/watermelon-face-milk/?archive_search=%2Fskin-care%2F%3Fsize%3D96 ,2,$14.00,1.0 fl. oz.,https://www.beautypedia.com/wp-content/uploads/2018/09/Fourth-Ray-Beauty-Logo.png?w=300
