chemical_id,id,ingredient_name,description,rating_score,category_id,functions
112,153,ALPHA-METHYL IONONE,"Hương liệu gây kích ứng mạnh, có nguy cơ gây ra kích ứng da dù ở các nồng độ thấp đến 0,001%",1.0,Pending,CHƯA PHÂN LOẠI
113,154,ALTEROMONAS FERMENT EXTRACT,nó có tính ngậm nước và được xem là một thành phần làm dịu da hiệu quả,4.0,[124],CHIẾT XUẤT THỰC VẬT
115,156,ALTHEA OFFICINALIS,"Althea officinalis, hoặc rễ Marshmallow, có chứa nhiều polysaccharides tinh bột và chất nhầy, tạo thành lớp gel bảo vệ da cùng với flavonoid và anthocyanidins. Lớp gel bảo vệ da có hiệu quả làm dịu sự kích ứng và giảm viêm. Rễ của Marshmallow có thể thúc đẩy quá trình tạo mô và tăng độ ẩm da trong khi da thiếu nước. Marshmallow được sử dụng trong mỹ phẩm vì đặc tính làm dịu và dưỡng ẩm.",5.0,"[115, 124]","CHẤT LÀM DỊU DA, CHIẾT XUẤT THỰC VẬT"
115,157,"MARSHMALLOW ROOT EXTRACT, MARSHMALLOW","Althea officinalis, hoặc rễ Marshmallow, có chứa nhiều polysaccharides tinh bột và chất nhầy, tạo thành lớp gel bảo vệ da cùng với flavonoid và anthocyanidins. Lớp gel bảo vệ da có hiệu quả làm dịu sự kích ứng và giảm viêm. Rễ của Marshmallow có thể thúc đẩy quá trình tạo mô và tăng độ ẩm da trong khi da thiếu nước. Marshmallow được sử dụng trong mỹ phẩm vì đặc tính làm dịu và dưỡng ẩm.",5.0,"[115, 124]","CHẤT LÀM DỊU DA, CHIẾT XUẤT THỰC VẬT"
116,158,ALUMINIUM,"sử dụng an toàn trong mỹ phẩm, thuốc men và thiết bị y tế.",4.0,[138],CHƯA PHÂN LOẠI
117,159,ALUMINIUM/MAGNESIUM STEARATE,"sử dụng an toàn trong mỹ phẩm, thuốc men và thiết bị y tế.",4.0,[138],CHƯA PHÂN LOẠI
118,160,ALUMINUM,"sử dụng an toàn trong mỹ phẩm, thuốc men và thiết bị y tế.",4.0,[138],CHƯA PHÂN LOẠI
119,161,ALUMINUM CHLORIDE,Muối kiềm được sử dụng để cân bằng độ pH trong các sản phẩm chăm sóc da; sử dụng không đúng nồng độ có thể gây vấn đề cho da.,3.0,[114],HẤP THỤ DẦU
120,162,ALUMINUM DIMYRISTATE,"là một axit béo tự nhiên xuất hiện trong một số loại thực phẩm. Axit Myristic tinh khiết xuất hiện dưới dạng chất rắn tinh thể bóng cứng, màu trắng hoặc mờ nhạt, hoặc dạng bột màu trắng hoặc vàng trắng",4.0,[126],CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM
121,163,ALUMINUM DISTEARATE,"là một axit béo tự nhiên xuất hiện trong một số loại thực phẩm. Axit Myristic tinh khiết xuất hiện dưới dạng chất rắn tinh thể bóng cứng, màu trắng hoặc mờ nhạt, hoặc dạng bột màu trắng hoặc vàng trắng",4.0,Pending,CHƯA PHÂN LOẠI
122,164,ALUMINUM HYDROXIDE,"có chức năng như một chất cản quang, chất tạo màu và chất hấp thụ, hoàn toàn an toàn cho da",4.0,"[113, 114]","TẠO KẾT CẤU SẢN PHẨM, HẤP THỤ DẦU"
123,165,AMETHYST EXTRACT,"Thạch anh tím là một tinh thể mà nhiều người biết đến vẻ đẹp trang trí và sự hiện diện chữa bệnh của nó trong nhà - nhưng ít người biết được lợi ích của da chữa bệnh.$1Những khoáng chất này không chỉ ảnh hưởng đến tâm trí và tính khí của bạn mà còn có lợi ích chăm sóc da. Cũng giống như vitamin, cơ thể chúng ta cũng cần khoáng chất, và vì chúng ta được tạo thành từ nước, khoáng chất và mô, chúng có lợi cho cơ thể và làn da của chúng ta.",4.0,"[132, 133]","CHẤT DƯỠNG DA, CHẤT HỒI PHỤC DA"
124,166,AMINOPROPYL ASCORBYL PHOSPHATE,"Dimethicone, còn được gọi là polydimethylsiloxan, là một polymer dựa trên silicon là một phân tử tổng hợp nhân tạo được tạo thành từ các đơn vị lặp lại được gọi là monome. Silicon là nguyên tố phổ biến thứ hai trong lớp vỏ trái đất sau oxy, và silicon dioxide còn được gọi là cát, thường được tìm thấy trên các bãi biển và bờ biển. Dimethicone cũng có thể được tìm thấy trong nhiều loại dầu ăn, thực phẩm chế biến và các món ăn nhanh như cốm gà và khoai tây chiên.",4.0,"[126, 132, 133]","CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM, CHẤT DƯỠNG DA, CHẤT HỒI PHỤC DA"
125,167,AMINOPROPYL DIMETHICONE,"Dimethicone, còn được gọi là polydimethylsiloxan, là một polymer dựa trên silicon là một phân tử tổng hợp nhân tạo được tạo thành từ các đơn vị lặp lại được gọi là monome. Silicon là nguyên tố phổ biến thứ hai trong lớp vỏ trái đất sau oxy, và silicon dioxide còn được gọi là cát, thường được tìm thấy trên các bãi biển và bờ biển. Dimethicone cũng có thể được tìm thấy trong nhiều loại dầu ăn, thực phẩm chế biến và các món ăn nhanh như cốm gà và khoai tây chiên.",4.0,"[126, 132, 133]","CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM, CHẤT DƯỠNG DA, CHẤT HỒI PHỤC DA"
126,168,AMMONIUM,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
127,169,AMMONIUM ACRYLOYL DIMETHYLTAURATE,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
128,170,AMMONIUM ACRYLOYL DIMETHYLTAURATE/VP COPOLYMER,"nó là một trong những thành phần chính được sử dụng trong sản phẩm tạo kiểu tóc để giữ nếp tóc. Khi dùng lượng nhỏ trong sản phẩm chăm sóc da, nó sẽ để lại một lớp màng vô hình trên da được coi là giữ nước cho da. Nó có thể kích ứng da đối với một số cá nhân.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
129,171,AMMONIUM ACRYLOYLDIMTAURAT,"ammonium acryloyldimethyltaurate / VP copolymer là polymer tổng hợp và chất tạo màng, nó còn giúp làm dày kết cấu mỹ phẩm.",4.0,"[113, 126]","TẠO KẾT CẤU SẢN PHẨM, CHẤT TẠO MÀNG/GIỮ KẾT CẤU SẢN PHẨM"
